date,open,high,low,close,volume
2012-01-03,47.8723,48.334,47.8042,48.2107,16032665.284152
2012-01-04,48.0459,48.2472,47.8614,48.1889,14687352.823056
2012-01-05,47.9285,48.0824,47.7923,47.9848,13980332.342036
2012-01-06,47.9778,48.0676,47.5634,47.8693,11673490.880361
2012-01-09,47.7923,48.1535,47.7707,48.0755,10862352.863034
2012-01-10,48.2254,48.2412,47.6651,47.8486,14304361.0114
2012-01-11,47.7223,47.8328,47.226,47.3809,20345359.459478
2012-01-12,47.4905,47.6138,47.2942,47.4767,41251252.938369
2012-01-13,47.3247,47.4905,47.155,47.4767,46492552.238997
2012-01-17,47.5822,47.9778,47.5763,47.8013,49527556.578495
2012-01-18,47.8644,48.0873,47.8644,48.0134,14284221.099517
2012-01-19,47.965,48.1751,47.5694,48.0518,12853613.288624
2012-01-20,47.7223,48.1751,47.592,48.1613,16764029.220998
2012-01-23,47.8644,47.9472,47.0978,47.2646,20391974.501385
2012-01-24,47.0011,47.0821,46.567,46.9005,13399379.66114
2012-01-25,46.8275,47.3741,46.6687,47.2488,15007965.542799
2012-01-26,47.3741,47.5428,47.0702,47.1166,16409221.527812
2012-01-27,46.7653,47.2408,46.2928,46.7565,15099854.587638
2012-01-30,46.3925,46.3925,45.833,45.9633,17179652.98108
2012-01-31,46.1182,46.21,45.5884,45.84,15622981.424601
2012-02-01,46.1546,46.3185,45.9485,45.9633,17741897.002575
2012-02-02,46.0856,46.2681,45.9939,46.0422,17345781.659831
2012-02-03,46.0689,46.4358,45.4917,45.6437,23984626.028094
2012-02-06,45.7098,46.2563,45.6505,46.1814,13547598.424796
2012-02-07,46.2158,46.4724,46.0768,46.3185,12243013.814093
2012-02-08,46.3343,46.3747,46.132,46.277,11242117.261161
2012-02-09,46.3747,46.6105,46.1961,46.567,12586081.587836
2012-02-10,46.2484,46.5216,46.209,46.4506,11408195.258168
2012-02-13,46.645,46.8117,46.5828,46.7061,9488122.4117978
2012-02-14,46.6105,46.8858,46.6036,46.8858,9623433.5486015
2012-02-15,47.1333,47.2212,46.8117,46.937,16023667.24712
2012-02-16,47.0771,47.5556,47.0091,47.4095,14894723.265098
2012-02-17,47.6217,47.6572,47.1936,47.2014,14139434.503642
2012-02-21,47.2488,47.3168,46.791,46.8433,13804087.586954
2012-02-22,46.7713,47.0563,46.6608,46.859,9667020.8630548
2012-02-23,46.791,48.406,46.7171,48.2955,27731258.832881
2012-02-24,48.5283,48.6832,48.3724,48.5095,24447443.615613
2012-02-27,48.406,48.7473,48.0873,48.5007,24622824.753758
2012-02-28,48.4188,49.0749,48.3863,49.0018,18521877.910261
2012-02-29,49.0128,49.2801,48.9506,49.1676,20276537.70412
2012-03-01,49.0374,49.2219,48.326,48.4721,16458205.434487
2012-03-02,48.5145,48.631,48.2807,48.4819,9657065.9546749
2012-03-05,48.4484,48.697,48.326,48.6832,9534919.9079882
2012-03-06,48.335,48.7858,48.1377,48.6043,13514299.504606
2012-03-07,48.5007,48.771,48.2955,48.4109,8348909.2945749
2012-03-08,48.6842,48.7651,48.552,48.6467,7992038.8543618
2012-03-09,48.6684,48.7631,48.4267,48.6684,7852682.3006612
2012-03-12,48.5589,49.288,48.5224,49.2367,12137020.039581
2012-03-13,49.3008,49.3728,49.1351,49.3728,12454991.226767
2012-03-14,49.2722,49.4122,49.2219,49.3353,11079003.132609
2012-03-15,49.2219,49.2949,49.0828,49.2129,11842739.527344
2012-03-16,49.3215,49.3353,48.8145,48.9003,21610056.523122
2012-03-19,48.7394,49.068,48.6901,48.8717,9680091.6851259
2012-03-20,48.6901,49.0472,48.6458,48.8717,8443100.3042785
2012-03-21,48.8717,48.9782,48.6171,48.8627,8416879.596614
2012-03-22,48.7207,49.2722,48.6832,49.0995,10067922.589809
2012-03-23,49.0906,49.1143,48.916,49.0304,8260073.3180625
2012-03-26,49.0995,49.3215,48.9003,49.0522,10752555.930367
2012-03-27,49.0906,49.2525,48.6901,48.8302,10915008.155328
2012-03-28,48.8075,48.9466,48.6832,48.8539,10361643.57558
2012-03-29,48.7059,48.8302,48.5451,48.7266,9512954.4396455
2012-03-30,48.8263,49.069,48.7276,48.8697,11923891.137659
2012-04-02,49.0304,49.3906,49.0098,49.1271,11820251.023392
2012-04-03,49.0294,49.1538,48.6763,48.7868,9563447.6486914
2012-04-04,48.5095,49.1242,48.5095,48.9111,11513584.906277
2012-04-05,48.6616,49.066,48.5984,48.9506,6244552.5547095
2012-04-09,48.5145,48.8145,48.5095,48.5826,8234473.9685934
2012-04-10,48.5283,48.6458,48.2097,48.2472,12977576.782692
2012-04-11,48.5283,48.6596,48.2254,48.3102,10443085.085477
2012-04-12,48.1129,48.262,47.9572,48.0587,38296186.888207
2012-04-13,48.0242,48.3566,47.8506,47.8585,40970601.761034
2012-04-16,47.9976,48.7927,47.9038,48.5589,45121250.178995
2012-04-17,48.6546,48.8667,48.5984,48.7345,12232193.261506
2012-04-18,48.6694,48.8667,48.5224,48.5382,8363810.7412803
2012-04-19,48.6319,48.6546,48.1573,48.404,10618809.845853
2012-04-20,48.5095,49.1587,48.4178,49.0867,15254764.355287
2012-04-23,48.6546,48.7217,48.2659,48.4632,11580183.760293
2012-04-24,48.5984,48.7217,48.3991,48.7217,9574638.1780178
2012-04-25,48.8904,49.1242,48.7651,49.0502,9537863.5037457
2012-04-26,48.8667,49.2357,48.8569,49.0334,11476399.709869
2012-04-27,47.7411,47.8585,46.8936,47.2537,38569189.176567
2012-04-30,46.6233,47.0505,46.4132,46.6667,26176455.405527
2012-05-01,46.4467,46.7427,46.4132,46.6174,16230672.780596
2012-05-02,46.6825,47.011,46.4911,46.9163,13213030.993348
2012-05-03,47.1432,47.4885,47.0505,47.305,16475548.727674
2012-05-04,47.3218,47.4816,47.1067,47.1353,16373441.229379
2012-05-07,46.5345,47.2991,46.4625,47.1107,15170558.66301
2012-05-08,47.0277,47.2537,47.011,47.0505,15660161.552834
2012-05-09,46.8818,47.1432,46.6174,46.6893,18880125.880306
2012-05-10,46.9311,47.1826,46.8058,47.0347,11059087.23404
2012-05-11,46.9765,47.0425,46.6509,46.6963,15434184.828518
2012-05-14,46.5651,46.7565,46.4201,46.6233,13504147.951055
2012-05-15,46.7249,47.0929,46.5651,46.7249,17488882.580862
2012-05-16,47.1826,47.525,46.9311,47.1432,16875738.882726
2012-05-17,46.9528,47.2232,46.866,46.9015,11493056.772227
2012-05-18,47.0721,47.1107,46.4911,46.5799,15795923.75717
2012-05-21,46.6825,46.7861,46.1626,46.4842,13027509.451636
2012-05-22,46.5118,46.6016,46.1833,46.3105,10276824.634188
2012-05-23,46.1981,46.2346,45.4957,45.7502,18769808.952936
2012-05-24,45.8232,46.1833,45.6337,45.8814,16834856.959828
2012-05-25,45.8903,46.3461,45.7571,45.8232,10061035.954279
2012-05-29,45.9327,46.2188,45.9209,46.1626,10094780.873827
2012-05-30,45.9327,46.1182,45.6417,45.6999,10219694.143798
2012-05-31,45.9031,45.9189,45.4542,45.6762,12646345.223708
2012-06-01,45.2885,45.4197,44.8791,45.1356,17358664.959445
2012-06-04,45.2372,45.2451,44.8021,45.0241,10593340.241652
2012-06-05,44.884,44.9699,44.7528,44.8525,10712494.038106
2012-06-06,44.9303,45.3842,44.8564,45.3181,13460556.582062
2012-06-07,45.5243,46.0787,45.2589,46.0235,18962940.865497
2012-06-08,46.2247,46.3363,45.8814,46.0165,10500128.403264
2012-06-11,46.1912,46.2425,45.833,45.8617,8653248.1059527
2012-06-12,45.833,46.0274,45.6199,46.0235,10656547.473283
2012-06-13,45.912,46.0274,45.6634,45.8814,9325518.1416025
2012-06-14,46.0235,46.5118,45.9791,46.3303,11440048.734987
2012-06-15,46.5878,46.6893,45.8469,46.1113,19277341.016919
2012-06-18,45.8745,46.0165,45.3102,45.6792,14031475.291054
2012-06-19,45.765,46.0165,45.5381,45.6199,17516440.272964
2012-06-20,44.6512,44.6512,43.8077,44.2852,53368166.51602
2012-06-21,44.2595,44.3484,43.8136,43.8136,25741143.81473
2012-06-22,43.8293,44.2191,43.8225,43.8747,19642440.145273
2012-06-25,43.6626,43.9488,43.4485,43.4929,20568170.601992
2012-06-26,43.5946,43.6912,43.3154,43.4633,11992620.65224
2012-06-27,43.4407,43.998,43.3756,43.9842,14576428.728378
2012-06-28,43.7771,44.2191,43.5068,44.2111,12556249.299012
2012-06-29,44.4736,44.9303,44.3956,44.9146,18140357.896482
2012-07-02,44.7626,44.9225,44.5703,44.8712,12157268.410399
2012-07-03,44.8228,45.0221,44.6048,44.9945,6570451.3804689
2012-07-05,45.0537,45.1691,44.8683,44.9856,48293246.261966
2012-07-06,44.8919,45.0142,44.6344,44.9353,50147539.271321
2012-07-09,44.8179,45.3181,44.8179,45.1356,45673158.165387
2012-07-10,45.2529,45.394,45.0912,45.2659,11797896.319246
2012-07-11,45.2973,45.2973,44.7212,45.0221,13603524.71692
2012-07-12,46.0511,47.1304,45.9791,46.7101,50617620.566553
2012-07-13,46.8818,48.2116,46.7644,47.7321,39778921.88761
2012-07-16,47.3829,47.6641,47.1087,47.523,14559846.675005
2012-07-17,47.3987,47.962,47.3316,47.9206,17136206.561877
2012-07-18,47.9532,48.184,47.596,47.9442,18099366.501016
2012-07-19,48.0429,48.1277,47.7321,48.0193,10920594.297276
2012-07-20,47.7233,48.0193,47.6345,47.8772,13685794.366533
2012-07-23,47.6345,47.8723,47.5102,47.6276,14481394.374436
2012-07-24,47.6957,47.7589,47.1304,47.3523,11184104.908406
2012-07-25,47.4273,47.5674,47.2576,47.3523,12741801.249772
2012-07-26,47.7746,48.1525,47.6641,47.7529,14168755.920474
2012-07-27,47.8437,48.2748,47.7529,48.1455,15063338.390266
2012-07-30,47.9956,48.2916,47.7075,48.1525,11341010.523178
2012-07-31,47.9206,48.0735,47.7075,47.7411,12610462.548152
2012-08-01,47.9818,48.0577,47.2646,47.3455,10522485.13468
2012-08-02,47.0869,47.3257,46.7851,46.9775,12792938.11698
2012-08-03,47.8654,48.7434,47.8594,48.4475,20656688.297145
2012-08-06,48.2501,48.995,48.2264,48.6772,13566174.298024
2012-08-07,48.7572,49.1509,48.7513,48.9782,14146037.321399
2012-08-08,48.8263,49.4113,48.7878,49.3482,13077802.974606
2012-08-09,49.2564,49.5079,49.1153,49.356,13083891.879468
2012-08-10,49.3196,49.3896,48.9722,49.3896,9860581.5431804
2012-08-13,49.2337,49.3718,49.0758,49.1715,8969157.5597455
2012-08-14,49.2091,49.5475,48.9584,49.356,12015372.701268
2012-08-15,49.4537,49.5011,49.2337,49.2929,13348686.766019
2012-08-16,49.2485,49.5553,49.1509,49.5553,13742801.193464
2012-08-17,49.4596,49.7812,49.286,49.5553,12702227.929533
2012-08-20,49.5079,49.5957,49.2249,49.3718,12084753.983091
2012-08-21,49.3798,49.6609,49.3196,49.3896,12294787.244021
2012-08-22,49.2406,49.4537,49.1923,49.4478,10477106.727353
2012-08-23,49.4113,49.431,49.2564,49.3196,10824459.135829
2012-08-24,49.2633,49.6914,49.062,49.5721,11600057.086196
2012-08-27,49.5079,49.8296,49.4537,49.6352,8679042.0733231
2012-08-28,49.4596,49.729,49.4478,49.5475,10282326.644439
2012-08-29,49.5355,49.6914,49.4113,49.4596,9128636.7935356
2012-08-30,49.2929,49.5119,49.2781,49.4675,9849800.5223546
2012-08-31,49.6609,49.8917,49.4754,49.6974,13639312.110797
2012-09-04,49.722,49.9085,49.5651,49.8513,10313819.267233
2012-09-05,49.7142,49.9479,49.7142,49.7724,10465654.680222
2012-09-06,50.0594,50.4826,50.0032,50.4738,17846528.451777
2012-09-07,50.4156,50.7392,50.2805,50.6819,17110760.271279
2012-09-10,50.6021,50.7264,50.387,50.6751,12060749.081324
2012-09-11,50.6139,50.7776,50.3554,50.4896,11952811.155069
2012-09-12,50.5557,50.7313,50.3367,50.3712,9323045.8860746
2012-09-13,50.2183,51.0233,50.2183,50.9681,14189710.794819
2012-09-14,50.897,51.1999,50.8654,51.1546,16589754.972167
2012-09-17,50.9473,51.2236,50.9355,51.2236,15256493.616431
2012-09-18,51.1762,51.5462,51.118,51.1999,17350672.448237
2012-09-19,51.1111,51.4662,51.0519,51.2295,11738850.058891
2012-09-20,51.118,51.5176,51.118,51.4485,11702759.588178
2012-09-21,51.5521,51.6488,51.3173,51.3479,27439197.167444
2012-09-24,51.2877,51.6675,51.2157,51.5994,11303688.486059
2012-09-25,51.5521,51.7514,51.4337,51.4752,13558115.900547
2012-09-26,51.4337,51.6675,51.2591,51.2591,10407940.336129
2012-09-27,51.3409,51.4485,51.0815,51.2591,9157069.2525578
2012-09-28,51.2236,51.3479,50.7698,51.3035,12107493.868499
2012-10-01,51.2798,51.6073,51.1111,51.3695,11612846.117764
2012-10-02,51.4268,51.5688,50.6819,50.8802,15197876.123639
2012-10-03,51.0519,51.4337,50.8358,51.1614,11991209.672455
2012-10-04,51.3035,51.6133,51.267,51.3173,10535419.116039
2012-10-05,51.6133,51.6675,51.3409,51.5058,9338979.213111
2012-10-08,51.3893,51.3893,50.9572,51.114,8891755.3849361
2012-10-09,50.9759,51.2453,50.6819,50.8181,11086142.16323
2012-10-10,50.8802,50.9917,50.2577,50.4018,12083170.685373
2012-10-11,50.5429,50.5853,50.163,50.2972,8923771.0433396
2012-10-12,50.4659,50.6375,50.2025,50.2519,8838356.0846241
2012-10-15,50.4974,50.9563,50.2725,50.824,11301629.793571
2012-10-16,51.0075,51.2295,50.8802,51.0391,10413712.9869
2012-10-17,51.121,51.9329,51.0914,51.8106,14832239.768787
2012-10-18,51.7938,51.8293,51.488,51.8106,9866770.7978965
2012-10-19,51.7217,51.8224,51.045,51.1368,13581772.111907
2012-10-22,50.9681,51.121,50.6129,51.0835,10079658.454713
2012-10-23,50.6958,50.8092,50.1571,50.2923,10768911.943158
2012-10-24,50.2409,50.9849,50.2409,50.7688,13690531.082433
2012-10-25,52.0138,52.8169,51.8866,52.2574,32825954.090253
2012-10-26,52.0059,52.4715,51.7435,51.7859,16018564.60902
2012-10-31,51.8372,52.1638,51.4623,51.634,12196409.922169
2012-11-01,51.5758,51.8372,51.56,51.6399,10330505.725003
2012-11-02,52.0059,52.0286,51.5038,51.5985,9337606.7514527
2012-11-05,51.6182,51.6182,50.9681,51.2098,8750582.3974898
2012-11-06,51.1564,51.4554,50.9779,51.4051,8903645.3223455
2012-11-07,51.3587,51.3587,50.5537,50.753,11866777.879063
2012-11-08,50.6958,50.7766,49.8917,49.8987,10617154.580057
2012-11-09,49.8355,50.3081,49.7872,49.9707,10925566.176474
2012-11-12,50.0762,50.2607,49.8987,50.0249,5861682.3792407
2012-11-13,49.796,50.4126,49.796,49.8503,9077994.580159
2012-11-14,49.8829,50.0121,49.435,49.6155,12980727.159969
2012-11-15,49.7872,49.9637,49.0926,49.4567,12458217.626662
2012-11-16,49.4873,49.9401,49.3225,49.8276,15225295.961393
2012-11-19,49.9549,50.6503,49.8592,50.6503,11721731.792653
2012-11-20,50.5675,51.0766,50.533,50.9365,10206747.99882
