date,open,high,low,close,volume
2012-01-03,48.6612,49.213,48.5879,48.9693,35190180.835215
2012-01-04,48.7855,49.1572,48.4949,49.075,20338551.034359
2012-01-05,48.7581,48.8745,48.2484,48.8412,18388849.694472
2012-01-06,48.9313,48.9517,48.448,48.5507,12902434.4956
2012-01-09,48.6524,48.8951,48.5096,48.7855,17474433.871528
2012-01-10,49.5504,49.613,49.0838,49.2198,19779778.394477
2012-01-11,48.9919,48.9997,48.3649,48.5556,19545779.80289
2012-01-12,48.2993,48.5096,47.8895,48.1027,28588938.631495
2012-01-13,47.7995,47.9295,47.3779,47.8621,23529096.314238
2012-01-17,48.4754,48.625,48.0479,48.2054,18174834.870484
2012-01-18,48.1741,49.0143,47.9383,48.9919,22287372.180677
2012-01-19,49.2462,49.3714,48.9645,49.1924,19302398.613644
2012-01-20,49.1846,49.3783,48.8129,49.1992,22334517.229294
2012-01-23,49.3714,49.7304,49.2354,49.5925,18842017.507236
2012-01-24,49.1308,49.4829,48.9586,49.4467,15403812.745325
2012-01-25,49.3714,50.2176,48.7376,50.0542,28491590.85834
2012-01-26,50.3907,50.4249,49.1768,49.3714,24635468.962731
2012-01-27,49.1513,49.4829,49.075,49.2677,13382659.315578
2012-01-30,48.7014,49.0672,48.3335,49.0339,19768807.154766
2012-01-31,49.3812,49.4311,48.4803,48.7268,21299574.180232
2012-02-01,49.1992,49.3372,48.8129,48.9185,18536737.548584
2012-02-02,48.9919,49.4751,48.8412,49.2882,22446079.975256
2012-02-03,49.9721,50.2048,49.6472,50.1579,21757403.64535
2012-02-06,49.8732,50.7644,49.7989,50.7584,19420217.787769
2012-02-07,50.6323,51.1067,50.108,51.0187,25460218.515985
2012-02-08,51.1449,51.2114,50.5149,50.8465,15999475.820933
2012-02-09,50.9737,51.0471,50.4455,50.8524,13935842.061803
2012-02-10,50.2606,50.4317,50.0111,50.3467,21525964.873391
2012-02-13,50.8739,50.8866,50.3574,50.7448,14384026.200173
2012-02-14,50.6949,50.9209,50.42,50.8318,21106712.6261
2012-02-15,50.9961,51.1449,50.5853,50.7526,21384373.316835
2012-02-16,50.8524,51.5019,50.5413,51.4119,26262387.679495
2012-02-17,51.8168,51.8834,51.3024,51.6037,19576093.833001
2012-02-21,51.9695,52.2395,51.811,51.9568,20866356.399425
2012-02-22,52.0663,52.4292,51.9401,52.0761,17907523.865812
2012-02-23,52.1348,52.398,51.7308,52.3354,20439817.253452
2012-02-24,52.4527,52.7286,52.4136,52.5417,17808857.335741
2012-02-27,52.3354,52.5945,51.9773,52.3774,16224906.581732
2012-02-28,52.309,52.5495,51.9078,52.2033,24092888.40874
2012-02-29,52.3382,52.485,51.4637,51.6095,25018834.665218
2012-03-01,51.8521,52.217,51.7142,52.1055,20323974.170118
2012-03-02,51.9147,52.1201,51.3052,51.5156,21068849.990507
2012-03-05,51.2946,51.3356,50.6871,51.184,18404024.599641
2012-03-06,50.4063,50.5423,50.0268,50.3516,20119784.596303
2012-03-07,50.4973,50.9121,50.1921,50.7712,9522026.0445639
2012-03-08,51.0129,51.3552,50.776,51.1811,14940729.720676
2012-03-09,51.2916,51.6027,51.0578,51.1312,21259380.718461
2012-03-12,51.0842,51.1644,50.6323,50.8524,17785326.214267
2012-03-13,51.1312,51.5341,50.6245,51.4647,25815003.995905
2012-03-14,51.4921,51.6418,50.8494,50.9757,20105097.324506
2012-03-15,51.0323,51.2868,50.7076,51.0539,22019324.10334
2012-03-16,51.2984,51.9147,51.2222,51.7552,34095323.285875
2012-03-19,51.7298,52.218,51.5753,51.992,20532412.390246
2012-03-20,51.5283,51.5889,51.1028,51.2075,19199963.914587
2012-03-21,51.1478,51.1527,50.5227,50.5991,23966141.556979
2012-03-22,50.0268,50.1148,49.2316,49.4585,29218175.826986
2012-03-23,49.57,50.1579,49.3117,49.9975,19109268.196668
2012-03-26,50.4249,50.511,50.0884,50.3701,14726991.937869
2012-03-27,50.4631,50.4757,49.8556,49.8664,18460084.036096
2012-03-28,49.6384,49.8106,48.8441,49.2442,22091262.804279
2012-03-29,48.9057,49.3284,48.5507,49.2442,23601450.065802
2012-03-30,49.5631,49.7646,49.1572,49.6472,18431844.236825
2012-04-02,49.5181,50.5051,49.3685,50.1305,25853032.242831
2012-04-03,50.0111,50.1011,49.1875,49.6942,20226089.693567
2012-04-04,49.0897,49.3205,48.8001,49.0564,22878890.883774
2012-04-05,48.8833,49.4633,48.717,48.8285,10346544.559786
2012-04-09,48.0323,48.5321,47.9833,48.1652,18067771.23242
2012-04-10,48.0948,48.179,47.1216,47.2164,31728115.773746
2012-04-11,47.7408,47.8797,47.1333,47.2311,18535371.766227
2012-04-12,47.2712,48.3785,47.237,48.2602,21763956.538246
2012-04-13,48.0528,48.1986,47.4385,47.5353,18945085.005155
2012-04-16,47.729,47.8797,47.0169,47.2164,21860115.385591
2012-04-17,47.6546,48.226,47.6087,47.9833,18435187.132264
2012-04-18,47.8405,48.1858,47.7408,47.8865,15600539.586202
2012-04-19,47.9159,48.2983,47.6546,47.8278,30311291.390447
2012-04-20,48.2827,48.5184,47.7016,47.7153,21816622.986945
2012-04-23,46.9171,47.7965,46.8291,47.6644,24610125.317214
2012-04-24,47.8405,48.179,47.6087,48.0166,14330421.287249
2012-04-25,48.3179,48.5263,47.9902,48.4949,21162676.989382
2012-04-26,48.2602,49.032,48.1858,49.0095,16229916.835723
2012-04-27,49.1259,49.1592,48.7385,48.986,8954488.2715022
2012-04-30,48.941,49.3274,48.8021,49.2902,10996964.671608
2012-05-01,49.3881,50.3516,49.3059,49.9975,20603421.827589
2012-05-02,49.57,49.5827,49.0437,49.1796,17461885.234978
2012-05-03,49.167,49.2316,48.2181,48.3639,23182570.955159
2012-05-04,47.8719,47.9521,47.0276,47.2585,32068514.535771
2012-05-07,46.9836,47.4179,46.6628,47.1216,21979478.220913
2012-05-08,46.7459,47.0492,45.9653,46.967,36389889.782335
2012-05-09,46.2471,47.0169,46.0044,46.7401,31731954.480895
2012-05-10,47.2018,47.459,46.8417,46.9396,17788997.265497
2012-05-11,46.608,47.2859,46.5102,46.5914,14891090.279132
2012-05-14,46.0192,46.0954,45.7217,45.8186,19587572.129635
