ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.2946273,0.8374978,0.47845804988662133,0.05152471,1.1301394
ACN,2.018032,1.0516918,0.46938775510204084,0.028736513,1.4200096
ADBE,2.225235,1.0827513,0.5079365079365079,0.051785726,1.4886284
ADI,1.5532593,0.94300044,0.5079365079365079,0.043703716,1.246511
ADP,1.9342568,0.99253875,0.5102040816326531,0.028707897,1.3911484
ADSK,1.5047499,0.9074761,0.48072562358276644,0.061982427,1.2219447
AMAT,1.9737015,1.0760403,0.48072562358276644,0.028255913,1.4028623
AMD,0.8316252,0.67525715,0.5147392290249433,0.045702856,0.9115117
AMZN,2.0054343,1.0409359,0.5124716553287982,0.05907955,1.413039
APH,1.4649569,0.9000665,0.4965986394557823,0.0979915,1.20547
APP,0.003178241,0.042137038,0.4965986394557823,0.030166442,0.048222117
ARM,0.0005235887,0.01465406,0.36961451247165533,0.017779931,0.013615528
AVGO,1.1246277,0.78731346,0.5238095238095238,0.024422983,1.0599577
AXP,2.184616,1.1089553,0.5260770975056689,0.097931884,1.4766287
AZO,1.4981201,0.88076097,0.4965986394557823,0.043849338,1.2175753
BA,2.6157384,1.1413852,0.46485260770975056,0.05004226,1.6192176
BABA,4.138636,1.4402902,0.4557823129251701,0.02667584,2.0322306
BAC,1.1787981,0.81243306,0.46485260770975056,0.075828224,1.0737649
BLK,1.8971395,0.9978573,0.4988662131519274,0.08791097,1.375189
BN,3.3473315,1.4121039,0.4988662131519274,0.030473864,1.8283355
BX,2.6410296,1.2253282,0.46938775510204084,0.07195305,1.6194087
C,1.3658826,0.8414219,0.4852607709750567,0.08023625,1.1553634
CB,1.8388412,1.021661,0.4852607709750567,0.18742403,1.3460732
CDNS,1.8353322,0.9998005,0.4875283446712018,0.059403334,1.3498724
CME,1.1897495,0.8190924,0.4965986394557823,0.102935806,1.0871173
COF,2.5364473,1.2034397,0.5124716553287982,0.043814354,1.5941335
COST,2.2900019,1.029432,0.5419501133786848,0.15880471,1.5200194
CPNG,0.00533937,0.044025555,0.5056689342403629,0.053529996,0.037984084
CPRT,1.5031767,0.9181414,0.4875283446712018,0.02942946,1.2287514
CRM,1.5585988,0.91330487,0.4965986394557823,0.033487912,1.2487295
CRWD,6.513143,1.8840125,0.5328798185941043,0.020611677,2.5516262
CSCO,1.3206862,0.7761415,0.47619047619047616,0.11297786,1.1318486
CVNA,15.273615,2.747837,0.47619047619047616,0.036452357,3.9060283
CVS,1.493587,0.8637532,0.5328798185941043,0.10425804,1.2189924
DELL,9.402401,2.1076765,0.5079365079365079,0.081533976,3.0560496
DG,2.0498579,0.8708108,0.48299319727891155,0.0564356,1.4265654
EBAY,1.6289096,0.9356113,0.5056689342403629,0.052248076,1.2721735
FTNT,1.8441538,0.8722593,0.5124716553287982,0.12656206,1.3374761
GD,1.2334827,0.8060744,0.4852607709750567,0.06723775,1.1051128
