,AAPL,ABBV,ADBE,AMZN,AVGO,COST,DIA,GOOGL,HD,IWM,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PEP,PG,QQQ,SPY,TSLA,V,XLE,XLK,XLY
AAPL,0.0,0.040696826,0.03223047,0.040161487,0.04137424,0.041984323,0.037241668,0.03778193,0.040076133,0.03464785,0.040804647,0.0426546,0.03840263,0.04238255,0.034579195,0.03614875,0.038836412,0.038021818,0.034603,0.038105525,0.037481602,0.039326437,0.037925754,0.039834317,0.03637713,0.036806114,0.04151458
ABBV,0.039248105,0.0,0.032468494,0.040490106,0.04286343,0.04210512,0.038335893,0.038229313,0.04050877,0.035999,0.039435063,0.04331886,0.037976664,0.04187973,0.036189154,0.034981422,0.03987305,0.038566653,0.03423889,0.037249763,0.03652232,0.041359216,0.03677337,0.038535774,0.034680244,0.036642894,0.041528672
ADBE,0.037916493,0.040832553,0.0,0.038740456,0.043208998,0.04120704,0.038101982,0.03642054,0.039853424,0.0336891,0.04019301,0.044100072,0.0354302,0.04226471,0.035743177,0.038241953,0.037498295,0.03834653,0.034540143,0.037594028,0.0357066,0.040416148,0.036898524,0.03970217,0.03548288,0.035875607,0.041995324
AMZN,0.041021857,0.039342884,0.032442335,0.0,0.040883265,0.042240076,0.03795871,0.039195247,0.04077727,0.037716754,0.0406568,0.039312106,0.039091468,0.042204335,0.036261123,0.03481158,0.03874239,0.038167372,0.034649093,0.036064107,0.03631099,0.03905705,0.037987728,0.039710395,0.036515474,0.037295572,0.041583993
AVGO,0.03906724,0.039737225,0.032094102,0.041569326,0.0,0.040523395,0.038088005,0.038113862,0.04002694,0.036957797,0.04143625,0.04253301,0.039038457,0.04124586,0.034584854,0.035864756,0.03933187,0.03732544,0.035364706,0.03878576,0.03579531,0.039345533,0.04035524,0.039016757,0.036420997,0.035890613,0.041486725
COST,0.040636223,0.039199453,0.032914802,0.040037554,0.043611724,0.0,0.039694607,0.03685628,0.039463967,0.0345235,0.041824043,0.043244988,0.038481876,0.042912405,0.034810796,0.036981124,0.03793064,0.03840415,0.0343205,0.036676973,0.036809407,0.039354715,0.037078217,0.038823444,0.03553722,0.035096847,0.044774476
DIA,0.039913107,0.039890967,0.031706326,0.040219862,0.04074218,0.042625733,0.0,0.039091498,0.04077331,0.036546946,0.03979329,0.04138425,0.037325438,0.04296126,0.036007885,0.035400864,0.039153036,0.038062774,0.03419804,0.037926372,0.035824582,0.040262036,0.037502132,0.039392833,0.03511632,0.037253067,0.040925886
GOOGL,0.041289955,0.04126766,0.030970406,0.041182194,0.04253183,0.040403385,0.037347123,0.0,0.040252287,0.036828786,0.042091977,0.04122498,0.0379284,0.041690227,0.034609426,0.03560333,0.03807769,0.037711475,0.033790175,0.036804464,0.036293373,0.040158615,0.03690369,0.040508308,0.036194813,0.03581327,0.042522125
HD,0.039498657,0.041485064,0.03182734,0.042502794,0.043383233,0.042447694,0.038191907,0.039986093,0.0,0.035457127,0.0402295,0.041748162,0.037371155,0.04144068,0.035414122,0.034142494,0.037818246,0.03804724,0.03396821,0.038730036,0.03495957,0.039025445,0.038566846,0.03819106,0.035415027,0.035563968,0.04458832
IWM,0.040906623,0.038690284,0.031086057,0.038844563,0.04019343,0.04173298,0.037123132,0.035747398,0.039781682,0.0,0.040080342,0.041938037,0.037641976,0.042797294,0.03526264,0.03572509,0.039730985,0.03941141,0.034640275,0.037395317,0.03754956,0.040505543,0.037913337,0.038223792,0.037699357,0.036128744,0.043250136
JNJ,0.038932346,0.0402407,0.0327265,0.04191737,0.04306616,0.042958442,0.037886474,0.03841402,0.039876863,0.03632942,0.0,0.042466134,0.037482467,0.04154209,0.036715373,0.0338669,0.038062632,0.03782323,0.033966642,0.03915888,0.03550102,0.04015933,0.037753582,0.039008137,0.034881286,0.036244124,0.043019902
JPM,0.039283466,0.040967155,0.031467304,0.039419513,0.044424903,0.040482633,0.038857304,0.036893863,0.041417763,0.036535654,0.039566983,0.0,0.039122745,0.04333837,0.03461544,0.03639255,0.03917522,0.038749907,0.033028044,0.036817342,0.03684863,0.040922854,0.037748814,0.038578797,0.035305336,0.036640953,0.04339845
LLY,0.04057842,0.04372604,0.032101255,0.04069662,0.04378845,0.041169263,0.039853778,0.038589697,0.038332663,0.035910383,0.040426347,0.040335167,0.0,0.04229292,0.0346717,0.03403457,0.038909815,0.038069576,0.03356512,0.039126374,0.03517306,0.03768068,0.038197815,0.037719257,0.03619617,0.035340454,0.04351439
MA,0.041269384,0.04001932,0.0320721,0.03994139,0.042829514,0.040318016,0.0394161,0.03800445,0.039978396,0.036396403,0.04044002,0.041990794,0.038286667,0.0,0.034320295,0.036569886,0.038610775,0.03842613,0.03508665,0.03685106,0.036555603,0.040258,0.037861668,0.038424563,0.03642584,0.036853313,0.042793605
META,0.039700925,0.03855585,0.03225221,0.040348627,0.040753353,0.04222568,0.038172945,0.037134167,0.03945618,0.03393563,0.041471448,0.043214306,0.03841516,0.04330966,0.0,0.035366654,0.038454935,0.038947083,0.035149213,0.03716386,0.03482916,0.040466387,0.03667408,0.037840094,0.036466014,0.03639976,0.043296613
MRK,0.041610982,0.040669333,0.030529045,0.041665886,0.042762853,0.040538494,0.03788238,0.03832977,0.038518284,0.037267614,0.040350765,0.040048428,0.03825723,0.041794654,0.035017617,0.0,0.037468143,0.03806849,0.03364141,0.03819693,0.03497111,0.03899174,0.037589274,0.040222045,0.036044486,0.036581412,0.042981658
MSFT,0.03992982,0.040607408,0.030335482,0.04096684,0.04469354,0.04116103,0.036969855,0.0373285,0.03946598,0.034706537,0.040800333,0.043092348,0.0381985,0.043170176,0.035107125,0.035239547,0.0,0.038669016,0.03332391,0.036901485,0.03664183,0.03998684,0.039680887,0.03822525,0.035858896,0.03542458,0.043514237
NVDA,0.04037389,0.04081357,0.033413004,0.039079897,0.041072935,0.042105574,0.038218327,0.038698554,0.040169638,0.03502931,0.04000582,0.04226225,0.03797362,0.041923493,0.03572675,0.036001205,0.03842207,0.0,0.033434745,0.034732167,0.036552627,0.039561767,0.038745668,0.03779029,0.03719458,0.036274582,0.044423703
PEP,0.041351777,0.04004426,0.031592324,0.039719142,0.04149784,0.04180642,0.036634956,0.038170263,0.038087152,0.03456854,0.039772283,0.04212152,0.038554877,0.043009214,0.035709817,0.03444652,0.037335437,0.038554095,0.0,0.037098974,0.036800396,0.040139046,0.036027256,0.039674878,0.036845814,0.037799623,0.04263764
PG,0.041050494,0.041077096,0.03253394,0.041702446,0.043172993,0.04226694,0.03827946,0.038309593,0.038946003,0.03416555,0.040077426,0.042095404,0.038808733,0.042962927,0.034882184,0.034693923,0.03867292,0.038189817,0.03353009,0.0,0.036287602,0.039387606,0.036686704,0.038169183,0.036085285,0.035172082,0.04279357
QQQ,0.03963743,0.040037934,0.033098105,0.03826261,0.04273456,0.04094798,0.03801862,0.037630275,0.04004058,0.035158563,0.0406496,0.040625054,0.039682675,0.043038953,0.03491584,0.03586381,0.03874373,0.03775636,0.033108857,0.037843205,0.0,0.03918108,0.038414966,0.038675025,0.037132673,0.03736786,0.04143369
SPY,0.04001719,0.041783214,0.030537546,0.037949447,0.04319187,0.04025226,0.038417615,0.037354067,0.040973548,0.035618752,0.039160337,0.042204626,0.03722841,0.0444449,0.035460055,0.036531392,0.038739182,0.039482392,0.0334879,0.037693046,0.03818729,0.0,0.037630778,0.039199457,0.036155943,0.03593977,0.04235898
TSLA,0.039980818,0.041298393,0.030922126,0.041321214,0.044324387,0.041627206,0.038146757,0.037400484,0.040436637,0.03422866,0.040762234,0.042273648,0.03793535,0.04261124,0.037044033,0.03495738,0.037110817,0.037632726,0.033455636,0.036700014,0.035904743,0.039249398,0.0,0.040903483,0.034391485,0.03490968,0.044471405
