,AAPL,ABBV,ADBE,AMZN,AVGO,COST,DIA,GOOGL,HD,IWM,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PEP,PG,QQQ,SPY,TSLA,V,XLE,XLK,XLY
AAPL,0.03731371,0.039063927,0.03847785,0.035861712,0.0366436,0.037945822,0.036385264,0.03670276,0.038393028,0.035901442,0.03858974,0.039032243,0.037427302,0.03477707,0.037940204,0.035015143,0.037174545,0.035989728,0.036008958,0.036487196,0.036495026,0.03759276,0.036898028,0.03641962,0.037544794,0.03608974,0.037828796
ABBV,0.03747498,0.03886762,0.03878118,0.036185768,0.03638928,0.037929963,0.037334517,0.036361042,0.038153954,0.036052085,0.03873528,0.038248315,0.036829993,0.034741424,0.038514033,0.034584086,0.037686057,0.03627834,0.03617003,0.036786687,0.03623955,0.03738491,0.036340233,0.03628684,0.037301287,0.036085498,0.038257066
ADBE,0.037997797,0.038985398,0.038320005,0.035809275,0.036684256,0.037873715,0.037443813,0.036204547,0.03859668,0.035569903,0.03957917,0.03836712,0.036248647,0.03428823,0.038544133,0.034856007,0.037282187,0.03647115,0.035293818,0.03669917,0.037037477,0.036685772,0.036934357,0.036144882,0.037096363,0.036499657,0.038486466
AMZN,0.03751998,0.03874716,0.03807273,0.03560843,0.036801964,0.037835468,0.036977824,0.036369752,0.03865634,0.035733268,0.0390917,0.038183566,0.03712435,0.0354639,0.03810904,0.035379194,0.038108207,0.03630048,0.03570598,0.03678448,0.03683324,0.037598014,0.0367845,0.035549156,0.03703425,0.035532195,0.03809482
AVGO,0.037605267,0.038752344,0.038613178,0.035928372,0.0365788,0.037717476,0.036875978,0.03673987,0.037951056,0.035827532,0.03899374,0.03858537,0.03737647,0.034771644,0.038246606,0.03457269,0.0378917,0.036330745,0.03543302,0.036586203,0.036677063,0.03712607,0.036849704,0.03630837,0.03730215,0.03614351,0.038215075
COST,0.03717605,0.038517118,0.039077338,0.03596238,0.036379382,0.037688356,0.03673304,0.0368632,0.038255744,0.03600488,0.039014008,0.03866741,0.036891337,0.03498768,0.038072843,0.034481555,0.03751521,0.03622759,0.035968002,0.036679316,0.036722966,0.037175562,0.0368002,0.035858642,0.037757676,0.03616907,0.038353443
DIA,0.037458677,0.038466617,0.038133413,0.035742264,0.03637398,0.037805073,0.037813094,0.03658434,0.038200088,0.036121644,0.03882429,0.039267972,0.03716776,0.03545136,0.037565928,0.034661405,0.037885334,0.036037363,0.03557186,0.037031732,0.03657788,0.037281606,0.036679145,0.03615079,0.037032228,0.036383547,0.03773061
GOOGL,0.037097756,0.03916324,0.03834712,0.035163112,0.037007026,0.03806167,0.03672758,0.036806192,0.038404055,0.03592648,0.03887229,0.038763728,0.037817594,0.034611084,0.03860745,0.034242153,0.037287664,0.036371145,0.035949204,0.0366832,0.036417253,0.037155885,0.036940966,0.03567658,0.037623767,0.036364052,0.037911765
HD,0.037484564,0.038375452,0.038303226,0.03599782,0.03655779,0.03818417,0.037153777,0.03680913,0.0380675,0.035596937,0.03916468,0.03830343,0.03648344,0.03523292,0.037913103,0.035099465,0.037785307,0.0363754,0.03580233,0.03660972,0.03675587,0.037097424,0.036501344,0.036094345,0.037593,0.036387924,0.038269937
IWM,0.037566423,0.039249483,0.03840659,0.03552679,0.036854096,0.037757,0.037109055,0.036804136,0.038036626,0.035606336,0.03956134,0.038518514,0.037200857,0.034707665,0.03821053,0.035131793,0.037610896,0.036333106,0.035254747,0.036565162,0.036784507,0.037704494,0.03636613,0.035694767,0.037280336,0.036150534,0.038008098
