,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,APP,ARM,AVGO,AXP,AZO,BA,BABA,BAC,BLK,BN,BX,C,CB,CDNS,CME,COF,COST,CPNG,CPRT,CRM,CRWD,CSCO,CVNA,CVS,DELL,DG,EBAY,FTNT,GD,GE,GOOG,GS,HD,HON,HOOD,HWM,IBKR,IBM,ICE,INTC,INTU,JD,JPM,KKR,KLAC,KR,LMT,LOW,LRCX,MA,MELI,META,MMC,MRVL,MS,MSFT,MU,NET,NFLX,NOC,NOW,NTES,NU,NVDA,ORCL,ORLY,PANW,PDD,PGR,PLD,PLTR,QCOM,RBLX,ROST,RTX,SCHW,SE,SNOW,SNPS,TGT,TJX,TPR,TSCO,TXN,ULTA,V,WDAY,WELL,WFC,WMT
AAPL,0.009974838,0.010084049,0.009825578,0.009542892,0.009540321,0.0101346,0.009643723,0.0101741385,0.0099591315,0.00984548,0.009775981,0.010326657,0.00986018,0.009956826,0.009803244,0.0097547555,0.009984717,0.00975584,0.009687643,0.010031166,0.009817015,0.009861202,0.010130896,0.009982046,0.009827554,0.010001038,0.009864439,0.009977398,0.009875918,0.00977213,0.010640515,0.00989287,0.010260789,0.010378387,0.009877754,0.009678989,0.009751577,0.010039652,0.009804245,0.010540365,0.009769359,0.0100100115,0.0101191895,0.010527762,0.009864863,0.009890004,0.0100529045,0.010023744,0.009785264,0.010359265,0.010223763,0.009410048,0.009947772,0.010091115,0.010143051,0.009992176,0.010199484,0.009568608,0.009868422,0.009898664,0.0104325265,0.010060133,0.009987335,0.01025901,0.010086698,0.009831654,0.009710365,0.009802247,0.009672525,0.010186205,0.010550826,0.009935668,0.009983573,0.010779973,0.010460113,0.010053518,0.009565981,0.0096642235,0.01027632,0.0099311285,0.009927468,0.010035318,0.010134199,0.009886991,0.010422377,0.010030396,0.010255241,0.010225564,0.010133136,0.010328735,0.009816319,0.009931045,0.010140052,0.009715714,0.010389378,0.009587298,0.0102296695,0.010211505,0.010141343,0.009846217
ACN,0.009963258,0.010103481,0.009816441,0.009511335,0.0095456755,0.010142171,0.009639163,0.010174808,0.0099351,0.009849926,0.009747188,0.010334425,0.0098486645,0.009986444,0.009814752,0.009780878,0.009941062,0.009733563,0.009732433,0.010038003,0.009815278,0.009805805,0.0101199495,0.010011566,0.009848484,0.010033868,0.009882958,0.009998511,0.0098591745,0.009712845,0.010629781,0.009896873,0.010228351,0.010379222,0.009859692,0.009691619,0.009745597,0.0100389365,0.009827631,0.010519843,0.009780232,0.0100109475,0.010133274,0.010529257,0.009884738,0.009915877,0.010065761,0.009982767,0.009814604,0.010427594,0.010220134,0.009375064,0.009961352,0.010110522,0.0101431,0.010009933,0.010186519,0.009546534,0.009901536,0.009901084,0.010412443,0.010061875,0.010003991,0.010248711,0.0101126,0.009839965,0.00972449,0.009824111,0.009677835,0.010177232,0.010567771,0.009894935,0.00999517,0.0107697565,0.010421484,0.010052364,0.009519992,0.009658192,0.010295283,0.0099228835,0.009914691,0.010040339,0.0101513155,0.009887586,0.010386685,0.010030502,0.010252945,0.010227095,0.01015801,0.010324869,0.009806423,0.009935832,0.010127383,0.0097120125,0.010373712,0.009577235,0.010244516,0.01024048,0.0101209,0.009860797
ADBE,0.010008341,0.010075549,0.00984453,0.009541771,0.009538752,0.010107664,0.009605,0.010143939,0.009960055,0.009869216,0.00976151,0.010320708,0.009864726,0.009943433,0.0097895935,0.009769452,0.00999742,0.009721001,0.009705059,0.010050165,0.009781119,0.009802304,0.010135816,0.010012824,0.009843475,0.010038489,0.009878328,0.010007162,0.009846637,0.009747004,0.010647379,0.009915898,0.010233646,0.010413101,0.009874342,0.009704679,0.0097563015,0.010053392,0.009792841,0.010528046,0.009791744,0.010017995,0.010139123,0.010530451,0.0098919235,0.009884363,0.010071521,0.010027079,0.009771751,0.010390399,0.010182531,0.009398319,0.0099604195,0.010080022,0.010145724,0.010002751,0.010188631,0.009565225,0.009847324,0.009876809,0.010435254,0.010082408,0.01000107,0.010248524,0.010102553,0.009887189,0.0097066555,0.009802913,0.009696474,0.01020932,0.010538177,0.009888286,0.00997813,0.010780824,0.0104826875,0.010029699,0.00952399,0.009665685,0.010289698,0.009961569,0.00990522,0.009990681,0.010181153,0.00987676,0.010422663,0.010021821,0.0102748005,0.0102275675,0.010118812,0.010329253,0.009785204,0.009918556,0.010126116,0.009679873,0.010412388,0.009538667,0.010226362,0.0102756405,0.010140389,0.009842193
ADI,0.009966362,0.010116243,0.009844773,0.009560543,0.00952774,0.010146822,0.009621678,0.010161698,0.009966394,0.00985067,0.009778945,0.0102621885,0.009858667,0.009964863,0.009806066,0.009789077,0.009987787,0.009758086,0.009695153,0.0100237755,0.009783606,0.009847328,0.010128965,0.01000435,0.009865322,0.010041795,0.009864911,0.009970228,0.009852558,0.009727328,0.010627211,0.0098778065,0.010262737,0.010366344,0.009856355,0.009697413,0.009748688,0.010039325,0.009822499,0.010517498,0.00976206,0.010019615,0.010130581,0.0105306655,0.009901938,0.009900857,0.010045456,0.009994958,0.009765046,0.010422633,0.0101980865,0.009401644,0.009950909,0.010077979,0.010143405,0.010009564,0.010238709,0.009575405,0.009821038,0.0098812105,0.010436948,0.010046607,0.010023207,0.010235596,0.010111045,0.009857604,0.009751578,0.009814505,0.009689617,0.010175293,0.01058753,0.009909531,0.009976825,0.010749975,0.010396546,0.010032781,0.009571463,0.009680783,0.010307742,0.009933409,0.009952579,0.010041459,0.01013512,0.009878822,0.010372454,0.010040777,0.010271601,0.01021591,0.010134671,0.010343773,0.009776089,0.009923553,0.010106739,0.009700139,0.010395264,0.009562787,0.01023183,0.0102547975,0.010152448,0.009859042
ADP,0.010012794,0.010068546,0.009836268,0.009542925,0.00954335,0.010139448,0.009617084,0.010165598,0.00995044,0.009828827,0.009754075,0.010340566,0.009848444,0.009929478,0.009808967,0.009759573,0.009988746,0.009726243,0.009694954,0.010023824,0.0097874375,0.009822603,0.010148711,0.009985031,0.009817205,0.0100166425,0.009910517,0.01000067,0.009874456,0.009764641,0.0106136175,0.009918632,0.010253077,0.010398876,0.0099124545,0.009630231,0.009723069,0.010019791,0.009799641,0.010583347,0.009755271,0.009987674,0.010126461,0.010543541,0.009887216,0.009886665,0.01009045,0.010011627,0.009819546,0.010395967,0.010228169,0.009380737,0.009982039,0.010083745,0.010138977,0.009994999,0.010169391,0.009580155,0.009900657,0.009917527,0.010419603,0.010058875,0.010015209,0.010297519,0.010077931,0.009844439,0.0097064,0.009811085,0.009656416,0.01015581,0.010535017,0.009883065,0.0099842055,0.010779113,0.010478348,0.010040368,0.009539338,0.009627227,0.010296103,0.009970644,0.009912274,0.010008153,0.010168996,0.009888258,0.010463668,0.010002295,0.010212379,0.010236901,0.010137064,0.010310959,0.009814344,0.009938367,0.01013972,0.009689679,0.010368821,0.009572239,0.010259604,0.010267179,0.010140531,0.009850251
ADSK,0.009992208,0.010082133,0.009809875,0.009508198,0.009563781,0.010129823,0.009619128,0.01017883,0.009953266,0.009865213,0.009766243,0.010328368,0.00985438,0.009964026,0.00977901,0.009775387,0.009968761,0.0097219255,0.009714595,0.010031029,0.009770906,0.009794384,0.01014481,0.010008978,0.009855231,0.010034863,0.00989042,0.010008489,0.0098900385,0.009738257,0.010617662,0.00990049,0.010249071,0.0104029635,0.009903168,0.009684879,0.00972967,0.010033393,0.009810823,0.010517529,0.009775178,0.010013526,0.010127324,0.010544689,0.0099181635,0.009880177,0.010042131,0.009980905,0.009810233,0.010445889,0.010201113,0.0093835965,0.009977054,0.010105269,0.010137277,0.0099966405,0.010200203,0.0095857475,0.009859409,0.009901248,0.010401761,0.010036282,0.0100316685,0.010261929,0.010106913,0.009859254,0.0097328685,0.009817171,0.009688314,0.010154322,0.010523667,0.009882936,0.009992648,0.01075602,0.010447163,0.010055358,0.009547668,0.009644818,0.010273235,0.009948488,0.009927115,0.010026114,0.010170281,0.00987304,0.010411227,0.010021267,0.010237149,0.010230511,0.010114122,0.010328771,0.009793508,0.009906649,0.010125912,0.009672835,0.010381905,0.009586299,0.010231618,0.0102843745,0.010172619,0.00986422
AMAT,0.009970074,0.010091452,0.00983642,0.009530306,0.009536492,0.010137046,0.0096485615,0.010161893,0.009955292,0.009866871,0.009764656,0.010336521,0.009866336,0.010006303,0.009807923,0.009751803,0.009939013,0.009722955,0.009696456,0.010014375,0.009773599,0.009787273,0.010135207,0.010025609,0.009832884,0.010028985,0.009917847,0.009997504,0.00985478,0.009746614,0.010631889,0.009874213,0.010243741,0.010399555,0.009901574,0.009686142,0.009752627,0.010048818,0.009825237,0.01051963,0.0097565735,0.009991057,0.010140851,0.010517922,0.009901151,0.009894072,0.0100652315,0.009993561,0.009806382,0.010398105,0.0102128405,0.009361029,0.009985715,0.010095302,0.010165717,0.009997554,0.010178797,0.009565246,0.009888793,0.009885578,0.010419762,0.010096832,0.010020914,0.01026766,0.010081846,0.009870102,0.009728144,0.009800113,0.0096816635,0.010177607,0.010530182,0.009870476,0.009990506,0.010757163,0.010464057,0.01003111,0.00953687,0.009649379,0.010312355,0.009963179,0.009883118,0.01002338,0.010157887,0.009880403,0.010404995,0.010020468,0.0102495365,0.0102395555,0.010152791,0.010337266,0.00981637,0.009928814,0.010135071,0.009653401,0.010385432,0.009569132,0.010247152,0.010274906,0.010125941,0.009838504
AMD,0.009997642,0.010059124,0.009827234,0.009524953,0.00953217,0.010134172,0.009619148,0.010172714,0.009928635,0.009890737,0.009767147,0.010362336,0.00983838,0.009987662,0.00976774,0.009770631,0.009953709,0.0097398395,0.009706165,0.010061875,0.009772196,0.0098020695,0.010113534,0.010027757,0.009851008,0.010015992,0.009882435,0.010022914,0.0098700095,0.0097607095,0.010615027,0.009885555,0.010236375,0.010371873,0.009873576,0.009712674,0.009751804,0.010042042,0.009809888,0.010526467,0.009799287,0.010001344,0.010123825,0.010501658,0.0099245375,0.009898089,0.010044349,0.010002492,0.0098265195,0.010423485,0.010215156,0.009380871,0.009952664,0.010130129,0.010146571,0.010004996,0.010159127,0.009544535,0.009870309,0.009882845,0.010400899,0.010087137,0.0100128185,0.010252892,0.010105028,0.009885734,0.009741031,0.009828564,0.009680595,0.010167837,0.010526707,0.009854627,0.009987931,0.010758011,0.010441399,0.010016992,0.009540387,0.0096603185,0.010317875,0.009916227,0.009898739,0.009983432,0.010183991,0.009865128,0.010395343,0.010010049,0.0102644935,0.010254546,0.010159514,0.010298562,0.0098249195,0.009923668,0.010125048,0.009681733,0.010407149,0.009565821,0.010268972,0.010282386,0.010160603,0.009844179
AMZN,0.00997099,0.010091834,0.009806825,0.009525303,0.009563293,0.010143976,0.0096330475,0.010181464,0.009940391,0.009824842,0.009761237,0.010351259,0.009840031,0.009976742,0.009826658,0.0097496435,0.009932874,0.009720787,0.009705907,0.010019295,0.009784126,0.009825988,0.010134534,0.00997767,0.009819622,0.010012207,0.0099064335,0.009995498,0.009858329,0.009743119,0.010591032,0.009901102,0.010249721,0.01038415,0.009890399,0.0096737435,0.009720744,0.010026215,0.009813328,0.010553491,0.009753545,0.010005575,0.010125971,0.010540802,0.00987847,0.009916264,0.010067832,0.009971609,0.0098194275,0.010449188,0.010228187,0.009365716,0.009969933,0.010128129,0.010137999,0.010005469,0.01019763,0.009561872,0.009909138,0.00991101,0.0104308855,0.010090699,0.010027042,0.01028201,0.010099093,0.009811217,0.009706783,0.009811213,0.009663405,0.010175952,0.010562258,0.009867774,0.009958064,0.010789076,0.010436524,0.010066867,0.009514105,0.009658726,0.010297017,0.009936411,0.009949317,0.010037202,0.010129685,0.009890363,0.01043121,0.01000905,0.010228705,0.010227328,0.010136425,0.010338694,0.009805545,0.0099113,0.010146378,0.009712907,0.010382617,0.00957975,0.010264514,0.010261001,0.010128321,0.00987295
APH,0.009966617,0.010085315,0.009782871,0.00955709,0.009513609,0.0101391,0.009611351,0.010177333,0.00991689,0.009827406,0.009771168,0.010355856,0.009860535,0.009976017,0.009801455,0.009769166,0.009956157,0.009742902,0.00968981,0.010009073,0.009790092,0.009836494,0.01013922,0.009991359,0.009805,0.0100063,0.00989902,0.009997368,0.009855101,0.00973155,0.010634346,0.009911438,0.010277711,0.010394074,0.009910211,0.009678607,0.009743618,0.0100340815,0.0097846575,0.010573711,0.009775363,0.009977081,0.010127015,0.010512257,0.009897342,0.00987743,0.010040789,0.009987939,0.009858256,0.01041228,0.010230266,0.00938528,0.009990745,0.0100829825,0.010137138,0.009995135,0.010191964,0.009552785,0.009879272,0.0099099185,0.010422992,0.01004484,0.010019571,0.010305123,0.010128966,0.009823848,0.009726611,0.00979071,0.009672329,0.010190759,0.010530652,0.009888718,0.009995709,0.01078061,0.010465293,0.010040923,0.009515823,0.009614302,0.010305574,0.009940822,0.0099482145,0.010034448,0.010175956,0.00984368,0.0104426425,0.010016054,0.01023339,0.010248439,0.010136613,0.010322674,0.009820196,0.0099295415,0.010147573,0.009702115,0.010382886,0.009583283,0.010254773,0.010208234,0.010173554,0.00986663
