,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,APP,ARM,AVGO,AXP,AZO,BA,BABA,BAC,BLK,BN,BX,C,CB,CDNS,CME,COF,COST,CPNG,CPRT,CRM,CRWD,CSCO,CVNA,CVS,DELL,DG,EBAY,FTNT,GD,GE,GOOG,GS,HD,HON,HOOD,HWM,IBKR,IBM,ICE,INTC,INTU,JD,JPM,KKR,KLAC,KR,LMT,LOW,LRCX,MA,MELI,META,MMC,MRVL,MS,MSFT,MU,NET,NFLX,NOC,NOW,NTES,NU,NVDA,ORCL,ORLY,PANW,PDD,PGR,PLD,PLTR,QCOM,RBLX,ROST,RTX,SCHW,SE,SNOW,SNPS,TGT,TJX,TPR,TSCO,TXN,ULTA,V,WDAY,WELL,WFC,WMT
AAPL,0.0,0.010074697,0.00987406,0.00977509,0.010415798,0.0103486795,0.009895279,0.0101649305,0.010121225,0.010023277,0.009655506,0.010081181,0.010147904,0.010628569,0.009797535,0.009985003,0.010074714,0.010390679,0.009777918,0.010274204,0.010054403,0.010155328,0.009820632,0.010090234,0.009324252,0.010433155,0.010070395,0.010745609,0.010426203,0.010152898,0.009842939,0.009698715,0.010252343,0.010676781,0.009794561,0.009550646,0.009588655,0.0102837095,0.010546236,0.010377897,0.009731514,0.010150962,0.010270466,0.01060564,0.010496805,0.0102457395,0.009884451,0.010038835,0.010284003,0.009748266,0.010413342,0.010099115,0.010014493,0.010123796,0.010049443,0.010063148,0.010069007,0.009628909,0.010648529,0.010252864,0.0098962365,0.010092496,0.010234074,0.009936082,0.010047308,0.010494318,0.010124147,0.010112463,0.0099807,0.009838276,0.009771263,0.010277509,0.010283267,0.009841768,0.009871389,0.00994782,0.010042544,0.009974941,0.010087165,0.010387338,0.010109406,0.009940594,0.010692097,0.01036878,0.010220355,0.009760273,0.010038601,0.01101908,0.009827441,0.010372733,0.010116632,0.010190005,0.009641959,0.009996819,0.009946888,0.009896453,0.009924577,0.010003161,0.010238802,0.010243032
ACN,0.010119105,0.0,0.00991433,0.009691957,0.010395653,0.01032512,0.009912396,0.010112978,0.010149306,0.010177242,0.009657473,0.009974903,0.010156596,0.010548288,0.009891491,0.009981638,0.010050805,0.010509138,0.009802105,0.010261604,0.010151652,0.010213299,0.009757216,0.010118294,0.009285716,0.01039103,0.010083868,0.010735653,0.010348786,0.010140921,0.0099270595,0.009687231,0.01018189,0.01058905,0.009827062,0.009515537,0.009651514,0.010370517,0.010415827,0.010502721,0.009784809,0.010141819,0.010269256,0.010564949,0.010505332,0.0102705695,0.009795491,0.010004611,0.010203461,0.009788676,0.010385985,0.010085744,0.010059229,0.010027494,0.010075705,0.010042172,0.010059264,0.009794525,0.010683938,0.010182656,0.0099214865,0.010184518,0.010216002,0.009946487,0.0100057125,0.010483972,0.010064853,0.01001446,0.01002621,0.009897333,0.009814308,0.010203067,0.010250132,0.009791197,0.009763787,0.009967373,0.010043093,0.009960965,0.01014768,0.0103934845,0.010138928,0.009930665,0.010647414,0.010321223,0.01028939,0.009776966,0.009956028,0.01090211,0.00994146,0.010424188,0.010158539,0.010181717,0.009667563,0.010066959,0.009883658,0.009955944,0.009897551,0.010023596,0.010190057,0.010297267
ADBE,0.01020947,0.010116687,0.0,0.00965006,0.010377172,0.01041524,0.009864819,0.010114288,0.0101690125,0.010007045,0.009608019,0.009941788,0.010168034,0.010564534,0.009985849,0.009975321,0.010095246,0.010394801,0.009778619,0.010294722,0.010147997,0.01013154,0.009819141,0.010080691,0.009252811,0.010412796,0.010120876,0.010541828,0.010356189,0.010180874,0.009840102,0.009617612,0.010198901,0.010594384,0.009851715,0.0095066475,0.009599182,0.010319578,0.010629776,0.010417608,0.00973014,0.010025917,0.01027941,0.010545248,0.01050616,0.010219311,0.009848048,0.010098795,0.010306725,0.009867228,0.010515785,0.010067711,0.010087181,0.010135661,0.010097512,0.010145359,0.010078056,0.009672419,0.010623886,0.010116716,0.009979979,0.010071025,0.010253872,0.009959128,0.010054654,0.010460045,0.0100882305,0.010118562,0.010062338,0.009822664,0.009869261,0.010248068,0.010304852,0.009808794,0.009810134,0.010027118,0.010119448,0.0099661015,0.010105369,0.010397747,0.010013517,0.009892768,0.010574801,0.010388939,0.010292868,0.009755367,0.010000093,0.010879473,0.00990535,0.010379201,0.010195473,0.010138391,0.009586075,0.009948178,0.009924376,0.009983684,0.009909541,0.009946517,0.010220909,0.010218855
ADI,0.010192697,0.01008198,0.009998747,0.0,0.010340736,0.010375223,0.009867686,0.010039088,0.010092853,0.010063647,0.009638585,0.009988261,0.010191029,0.01058181,0.010008987,0.009919746,0.010147098,0.010302314,0.0098157795,0.010126496,0.010075239,0.010108387,0.009802005,0.010154189,0.009373825,0.010398367,0.010004432,0.0106155975,0.010367897,0.010165405,0.009874843,0.009683286,0.01016087,0.01061974,0.0097887525,0.009485068,0.009627796,0.010237201,0.010517307,0.010326137,0.009668465,0.010084626,0.010226195,0.010497435,0.010535988,0.010262216,0.009877673,0.010056701,0.010270726,0.009779993,0.010391478,0.010182808,0.01006137,0.010092409,0.010079878,0.0101686325,0.010069523,0.009706866,0.010685896,0.0101196,0.010055407,0.010148112,0.010349953,0.00996482,0.0100762,0.010544497,0.010114004,0.010072174,0.00999261,0.00985226,0.0098528825,0.010277786,0.01026697,0.00973354,0.009777469,0.009981305,0.010172828,0.010054631,0.010200397,0.010413055,0.010008019,0.010004882,0.010661616,0.010333893,0.010224209,0.009688937,0.009943398,0.010860329,0.009979634,0.010410595,0.010138887,0.010129217,0.009599512,0.009986961,0.009900329,0.010012501,0.009879267,0.009938011,0.01016138,0.010259929
ADP,0.010131433,0.0100890435,0.009817482,0.00970307,0.0,0.010337723,0.0098530995,0.010114015,0.010076577,0.010125185,0.009676386,0.010039996,0.010150006,0.010583377,0.0099637,0.009959908,0.01013531,0.010457994,0.009804727,0.010271503,0.010007916,0.010235177,0.009794756,0.010126834,0.009341555,0.0104333935,0.01005274,0.010647821,0.010341567,0.01012696,0.009947383,0.009670955,0.010245446,0.01057525,0.009829225,0.009631443,0.00963285,0.0102839125,0.010495581,0.010418248,0.009732926,0.010186007,0.010333239,0.010552019,0.010453982,0.010229841,0.009862136,0.010081206,0.010303001,0.009833719,0.010340492,0.010092706,0.010022137,0.010147804,0.01004015,0.010080079,0.010049972,0.009690181,0.010660056,0.010232831,0.010034558,0.010110224,0.010234717,0.009928683,0.010037646,0.01049081,0.010119043,0.010065782,0.010049063,0.009864088,0.00984388,0.0102224555,0.010227313,0.009811165,0.009779076,0.010011339,0.010073419,0.009909749,0.010118857,0.010406214,0.010135107,0.009957599,0.010633268,0.010314316,0.010235011,0.009791229,0.010037556,0.010940779,0.009895913,0.010396962,0.010169763,0.010148252,0.009643869,0.010064137,0.00988983,0.0099424925,0.009913509,0.010037548,0.010190919,0.010269825
ADSK,0.010112098,0.0101288445,0.009840215,0.0097393,0.010349425,0.0,0.009890095,0.0101113785,0.010210031,0.010181199,0.00961913,0.0099908365,0.01013916,0.010580504,0.009977491,0.009992801,0.010048692,0.010462788,0.009883414,0.010328057,0.01005884,0.010245152,0.009753331,0.010150432,0.009286379,0.010373862,0.010026032,0.010739121,0.010315835,0.01008223,0.009960254,0.009656244,0.0101930825,0.0106817,0.009829329,0.0095168585,0.009629681,0.010306806,0.010519145,0.010436349,0.009676168,0.010127846,0.010251586,0.010627231,0.0104549425,0.010293223,0.009878769,0.010049516,0.010194332,0.009789457,0.010416679,0.010106268,0.010116746,0.010153555,0.010061317,0.010112907,0.010105055,0.009683519,0.010670105,0.010197856,0.009909023,0.010108395,0.010266096,0.009884392,0.009990213,0.010535108,0.0100655975,0.010061652,0.00998454,0.00985401,0.009855286,0.010248813,0.010181306,0.009828314,0.009727398,0.009955984,0.010068295,0.009948107,0.010162317,0.010435779,0.010132346,0.009877001,0.010643179,0.0102794785,0.0102707315,0.009754847,0.010008489,0.010963679,0.009925468,0.0103733,0.010172033,0.010201601,0.009616566,0.010037887,0.009898461,0.010003601,0.0099498285,0.009998876,0.010228289,0.010280602
AMAT,0.010111328,0.010125977,0.009844622,0.009724765,0.010327413,0.010395148,0.0,0.010095668,0.010098162,0.010036187,0.009634994,0.009961856,0.010151647,0.010569788,0.009880131,0.009931953,0.010119551,0.010407251,0.009821264,0.010394449,0.009965488,0.010214435,0.009763067,0.010158962,0.0093011195,0.010406598,0.010011715,0.0106713595,0.010408757,0.010145239,0.009972046,0.009593063,0.010266523,0.010715903,0.009807282,0.009558604,0.009547142,0.010355987,0.010386255,0.0104877595,0.009696562,0.010172821,0.01026152,0.010603044,0.010477714,0.010237805,0.009837983,0.010054616,0.010267097,0.009786218,0.010366,0.010060207,0.01010789,0.010126971,0.010112054,0.010088395,0.010098331,0.009617496,0.010554181,0.01016212,0.009989977,0.0101289125,0.010243096,0.0099863205,0.009956063,0.010506959,0.010163533,0.010059599,0.010041366,0.009868599,0.009862264,0.01014456,0.010224715,0.009870083,0.009795503,0.009979838,0.010036043,0.00993781,0.010113129,0.010375232,0.010070621,0.009856286,0.010646947,0.010339967,0.010237536,0.009868655,0.01011251,0.010921299,0.009877063,0.01039578,0.010240429,0.010103531,0.009642547,0.0100774225,0.0098537365,0.009962393,0.009916887,0.010005826,0.010245324,0.01028316
AMD,0.010129423,0.010076387,0.009894322,0.00973581,0.010370073,0.010390193,0.009812667,0.0,0.010099351,0.010109517,0.009662282,0.010042095,0.010193058,0.01053441,0.009904324,0.0099190995,0.01008339,0.010478988,0.009765504,0.01028657,0.01005081,0.010215693,0.009767218,0.010169672,0.009347315,0.010409547,0.010089596,0.0107140215,0.010328672,0.010100572,0.0098469965,0.009665642,0.0102458615,0.010583826,0.009804816,0.009539402,0.009621311,0.010303648,0.010451551,0.0104429,0.009703943,0.010137937,0.010288825,0.010562894,0.010498454,0.010238102,0.009800505,0.010065906,0.010313765,0.009768395,0.010455963,0.010078797,0.010061469,0.010094526,0.01006504,0.01012729,0.010026252,0.009642782,0.010650437,0.010176954,0.0100214,0.010127755,0.010263088,0.009894471,0.0100439405,0.010529647,0.0101149045,0.010117786,0.009993627,0.009827068,0.009808129,0.010279507,0.010307489,0.009781087,0.009863182,0.010013679,0.010119124,0.009987551,0.010127249,0.010411158,0.010078193,0.009871776,0.010725324,0.0103808455,0.010308394,0.00977831,0.010029907,0.010883528,0.009910499,0.010381851,0.010144945,0.010098031,0.009592905,0.010032882,0.009880564,0.009931804,0.009879575,0.010035627,0.0102009475,0.010277561
AMZN,0.010156625,0.010102382,0.009922857,0.00970036,0.010353348,0.01037982,0.0098596085,0.010052213,0.0,0.010094416,0.009679447,0.010008646,0.0102098575,0.010537998,0.009863042,0.009964754,0.010121357,0.01044181,0.009799233,0.010319408,0.0100699775,0.010230571,0.009780936,0.0101128705,0.009331171,0.010437431,0.010047019,0.0106689185,0.010356215,0.010113757,0.009853496,0.009665573,0.010139599,0.010594015,0.009835378,0.009571321,0.009611375,0.010327017,0.010479105,0.010479985,0.009707534,0.010130681,0.01024016,0.010553598,0.010518092,0.010215541,0.009846669,0.010032959,0.010265599,0.009819835,0.0104076415,0.010088681,0.010113318,0.010114888,0.01011788,0.010133037,0.010084162,0.009669531,0.010668603,0.01019725,0.009927904,0.010134347,0.010247587,0.009913121,0.010075643,0.01042614,0.010078808,0.010121209,0.0100094145,0.009860749,0.009778347,0.0102529945,0.010295479,0.009788865,0.009784757,0.009968443,0.010094085,0.00990443,0.0101503935,0.010346414,0.010092449,0.009877374,0.010650577,0.010371693,0.010316318,0.009845591,0.010014452,0.010890968,0.009867335,0.010391192,0.01017836,0.010102098,0.009602633,0.010036915,0.0099352235,0.009978374,0.009951215,0.01007456,0.010178204,0.010286764
APH,0.010080899,0.010086277,0.009947604,0.009740816,0.010330445,0.010329309,0.009854477,0.01008923,0.010063094,0.0,0.00970308,0.010147953,0.010189587,0.010545427,0.009917953,0.009917619,0.010112486,0.010408055,0.009821799,0.010277258,0.010021385,0.01023849,0.0097413855,0.01014078,0.009337864,0.010408108,0.0099936165,0.010716673,0.010379086,0.010090407,0.009929026,0.009694379,0.010262757,0.010596992,0.009827503,0.009653893,0.009624435,0.010279298,0.010460547,0.01040811,0.009711101,0.010222662,0.010276845,0.010538676,0.010549274,0.010226135,0.009877255,0.010049057,0.010263087,0.009843719,0.010306185,0.010101179,0.010011733,0.010125429,0.010032533,0.0101450505,0.010067098,0.009718759,0.010644988,0.010157018,0.00989794,0.01012452,0.010257578,0.009921431,0.010021795,0.0104645565,0.010111684,0.010061775,0.010006702,0.009916648,0.009790439,0.010227587,0.01036324,0.009796001,0.009859538,0.009940732,0.01013196,0.009863032,0.010124036,0.010405988,0.010123134,0.00997488,0.010663112,0.010311937,0.010274255,0.009816427,0.009962381,0.010852952,0.009956843,0.010373469,0.010155542,0.010148239,0.00963859,0.010062556,0.009835095,0.009919968,0.009914484,0.010010493,0.010140897,0.01034174
