,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,APP,ARM,AVGO,AXP,AZO,BA,BABA,BAC,BLK,BN,BX,C,CB,CDNS,CME,COF,COST,CPNG,CPRT,CRM,CRWD,CSCO,CVNA,CVS,DELL,DG,EBAY,FTNT,GD,GE,GOOG,GS,HD,HON,HOOD,HWM,IBKR,IBM,ICE,INTC,INTU,JD,JPM,KKR,KLAC,KR,LMT,LOW,LRCX,MA,MELI,META,MMC,MRVL,MS,MSFT,MU,NET,NFLX,NOC,NOW,NTES,NU,NVDA,ORCL,ORLY,PANW,PDD,PGR,PLD,PLTR,QCOM,RBLX,ROST,RTX,SCHW,SE,SNOW,SNPS,TGT,TJX,TPR,TSCO,TXN,ULTA,V,WDAY,WELL,WFC,WMT,XLE,XLK,XLY
AAPL,0.0,0.010393646,0.010120238,0.009788548,0.010060301,0.01050608,0.009952214,0.010654457,0.009708513,0.009433789,0.009936145,0.009842509,0.009356849,0.009258145,0.01032701,0.010030553,0.009586699,0.009898909,0.009559119,0.009971756,0.009538741,0.009927301,0.009575414,0.01001868,0.009584331,0.010114392,0.009447486,0.010108054,0.009718392,0.009463162,0.010180934,0.009604232,0.009548171,0.009099126,0.009686802,0.009741451,0.009772049,0.010106043,0.010034231,0.009592741,0.010497471,0.009846408,0.009819936,0.010279817,0.009754798,0.009273042,0.009819864,0.009973398,0.010188954,0.010007304,0.009410113,0.009898627,0.009485056,0.00941179,0.009621547,0.0091803,0.009965989,0.010090426,0.009614654,0.009805133,0.0094616385,0.00995175,0.010106883,0.009332243,0.009884625,0.009564954,0.010023771,0.0100459205,0.009798411,0.009506708,0.0096932445,0.009446976,0.010595909,0.00999746,0.009720557,0.009532111,0.009629697,0.009861374,0.010166095,0.009584856,0.009859537,0.010004692,0.010151986,0.009460839,0.009880311,0.009889683,0.009091241,0.010236495,0.009850268,0.009824472,0.009665824,0.009314611,0.009864248,0.009702447,0.009678477,0.010012915,0.009964365,0.009774622,0.009924241,0.009324394,0.0093523,0.009812217,0.010262763
ACN,0.009837232,0.0,0.010100943,0.00973655,0.010042314,0.010541673,0.009936057,0.010683918,0.00978721,0.009458408,0.010010071,0.0098645585,0.009339822,0.009290499,0.010295938,0.010037195,0.009654478,0.009840667,0.009565711,0.0100351935,0.009588747,0.009956646,0.009593791,0.010003631,0.009554072,0.010155642,0.009442723,0.010106658,0.009668743,0.009480852,0.010154332,0.009591585,0.00955261,0.009063714,0.009733997,0.009736314,0.009727272,0.010149586,0.009999772,0.0095855845,0.010486233,0.009887395,0.009873696,0.010275375,0.009781336,0.009316031,0.009797548,0.010012948,0.01013173,0.0100545045,0.009381485,0.009946638,0.009400093,0.0093846,0.009591141,0.009176961,0.01000418,0.010038996,0.009608202,0.009816482,0.009476411,0.009926668,0.010219167,0.009302308,0.009894348,0.009502261,0.0100197615,0.0101018,0.009842139,0.009524963,0.009686621,0.009469053,0.010608264,0.009999076,0.009677842,0.009438338,0.009693235,0.009867931,0.010213943,0.009559209,0.009963719,0.010035525,0.010171099,0.0095065795,0.009832264,0.009874436,0.0090779895,0.01028684,0.009867637,0.009813542,0.0096012745,0.009310128,0.009883476,0.009688836,0.009715003,0.009982521,0.010018964,0.009738247,0.009912254,0.009308916,0.00934238,0.009850928,0.010323788
ADBE,0.009829388,0.010414153,0.0,0.009797202,0.010118201,0.010445124,0.009924335,0.010670143,0.009735381,0.009434761,0.010019303,0.009846722,0.009395031,0.009304207,0.01030879,0.010018332,0.0096451,0.009890791,0.00956788,0.010002067,0.009520573,0.009956075,0.0095568895,0.010005544,0.0095236525,0.010113497,0.009423733,0.010079371,0.009675015,0.009484731,0.010154333,0.0096032135,0.0095931105,0.009065128,0.009700261,0.009731002,0.009775706,0.010155554,0.010003185,0.009583533,0.010474974,0.009868614,0.009830061,0.010245897,0.009760068,0.009286331,0.009829756,0.010050194,0.010224198,0.010050983,0.009382462,0.00992404,0.009425939,0.009399721,0.009634106,0.009170101,0.009947531,0.010123978,0.00958835,0.009810152,0.009449923,0.010004997,0.010136797,0.009367223,0.009878587,0.009543388,0.009947877,0.0101084085,0.009872161,0.009539449,0.009699767,0.009393203,0.010583214,0.009975946,0.00973965,0.009501566,0.009646997,0.009883345,0.010225154,0.009571954,0.009913114,0.00997919,0.010168974,0.009480035,0.009884837,0.009899326,0.009109704,0.01024913,0.009797174,0.009783592,0.00962616,0.009270043,0.009862677,0.009706085,0.009676132,0.010039638,0.009960117,0.009747002,0.009907554,0.0093115745,0.00934288,0.009833669,0.0102832895
ADI,0.0098248,0.010386977,0.010110848,0.0,0.0100735035,0.010471164,0.009939645,0.010636184,0.009735898,0.009472414,0.009952974,0.0098970225,0.009340166,0.009300823,0.010288408,0.009991274,0.009601242,0.009913472,0.009618195,0.010058142,0.009567699,0.009913803,0.009562358,0.010027969,0.009607567,0.010155064,0.009486004,0.010093311,0.009699745,0.009477376,0.010216836,0.009621278,0.009555233,0.009096981,0.009664673,0.009709458,0.009784367,0.010150087,0.010019995,0.0095917005,0.010486851,0.0098973755,0.009838664,0.010237094,0.009760309,0.009283853,0.009786829,0.0099772215,0.0101456735,0.010009143,0.009397375,0.009868416,0.009425509,0.009411198,0.00963563,0.0091606695,0.0099232085,0.010067068,0.009654014,0.009747255,0.009474054,0.0099649085,0.010117576,0.009347775,0.009854615,0.009567979,0.01000897,0.01007669,0.009787982,0.009528235,0.009690776,0.009464649,0.010504489,0.009964779,0.009709808,0.00948725,0.009656418,0.009804063,0.010177205,0.0095758615,0.009906037,0.0100178905,0.010152951,0.00947894,0.009811712,0.009882013,0.009125771,0.010221945,0.009807724,0.009853684,0.009630064,0.009324292,0.009859828,0.009722423,0.009641814,0.01000686,0.009966074,0.009766118,0.009954024,0.009298521,0.009339517,0.009853603,0.0102861
ADP,0.009790885,0.0103528,0.010136143,0.009790428,0.0,0.010413554,0.009939541,0.010702947,0.009752517,0.009414461,0.00995262,0.009811902,0.009418085,0.00928916,0.010274667,0.010049702,0.00958627,0.009887504,0.00962566,0.009997332,0.009544575,0.009949476,0.009538934,0.010014353,0.009542625,0.010127478,0.009473195,0.0100922035,0.009779458,0.00947473,0.010166143,0.009603898,0.009554194,0.009149883,0.009744035,0.009788952,0.0097599495,0.010123543,0.010012683,0.009558558,0.010449996,0.009807533,0.009861596,0.010257163,0.009767667,0.009303501,0.009790952,0.009933536,0.010216838,0.010021328,0.009423323,0.009913187,0.009446633,0.009412493,0.009668529,0.009198658,0.009968482,0.010084026,0.009575529,0.009777178,0.009469712,0.009923913,0.010087828,0.0093802465,0.00993688,0.009615147,0.009993048,0.010031493,0.009829868,0.009533506,0.009763411,0.009467282,0.010566339,0.009981119,0.009698591,0.009531426,0.009620297,0.009851545,0.010188908,0.009553641,0.0098967645,0.01003867,0.0101463795,0.009498943,0.009852701,0.009892635,0.009104849,0.010188618,0.0098467935,0.00983665,0.00966207,0.009312186,0.009899932,0.009717522,0.00970454,0.009974424,0.009997727,0.009729606,0.009925243,0.009319695,0.009347629,0.00980357,0.010215515
ADSK,0.009784921,0.010378512,0.010078462,0.009755834,0.010054304,0.0,0.009983413,0.010654569,0.009777683,0.009459788,0.009980186,0.009882744,0.009346312,0.009292496,0.010289392,0.010102575,0.009597326,0.009895098,0.009581515,0.010008585,0.009537247,0.009939063,0.009573417,0.010023946,0.009577271,0.010078773,0.009408128,0.010076604,0.009750802,0.009430084,0.010122069,0.009602043,0.009549617,0.009173906,0.009696469,0.009824647,0.009757017,0.010152125,0.010001699,0.009618655,0.010509509,0.009856199,0.009860902,0.010288525,0.0097484905,0.009271901,0.009771498,0.009969438,0.010167411,0.010068555,0.009388771,0.009927606,0.00944202,0.00938046,0.009638051,0.009191556,0.010017202,0.010079378,0.009656085,0.009828451,0.00951963,0.0099349115,0.010162114,0.009378682,0.009922174,0.009539437,0.010006782,0.010108608,0.00985356,0.009500069,0.009723159,0.0095172115,0.010591338,0.009981107,0.009690975,0.0095037315,0.009650413,0.009787482,0.010194646,0.009607699,0.009917877,0.009994676,0.010161706,0.009465189,0.00984533,0.009858848,0.009093131,0.010267634,0.009832583,0.009841819,0.009627397,0.0092949625,0.009894078,0.00965907,0.00965577,0.010003239,0.0099437665,0.009808199,0.009901686,0.009330446,0.009395338,0.009868619,0.010305555
AMAT,0.009787459,0.010356241,0.010121083,0.009777825,0.010063775,0.010502038,0.0,0.010722288,0.009743343,0.009473805,0.009963045,0.009871801,0.009359832,0.009299385,0.0103016365,0.01002104,0.009561155,0.009903815,0.00957775,0.0100288605,0.009565277,0.009923464,0.009577846,0.0100126555,0.009602599,0.010142286,0.009438324,0.010093931,0.009715851,0.009489128,0.010176543,0.009625858,0.009557966,0.009114685,0.009747937,0.009732863,0.009749979,0.010128877,0.01001043,0.009574225,0.010488049,0.009878806,0.009851056,0.010239304,0.0097975815,0.009305438,0.009778392,0.00998392,0.010155305,0.010017948,0.00937886,0.009922198,0.009428282,0.009398879,0.009598499,0.009176711,0.009960295,0.010051346,0.009594928,0.009774251,0.009475923,0.009937682,0.010178442,0.009342568,0.0098866485,0.00956509,0.010010983,0.010050982,0.009820625,0.009512398,0.009716748,0.009483148,0.010588139,0.009981606,0.009701406,0.00950852,0.009649066,0.009811071,0.010181957,0.009588334,0.009886226,0.010032975,0.010123153,0.009472879,0.009838254,0.009875788,0.009090373,0.010246797,0.0098173395,0.009838846,0.009632814,0.009326409,0.009879769,0.00971203,0.009664475,0.010010948,0.009939542,0.009758928,0.009910386,0.009304866,0.009361388,0.009838487,0.0102491
AMD,0.009801804,0.010341868,0.010146408,0.009790031,0.010113283,0.010453523,0.009982967,0.0,0.00974564,0.009462822,0.010050082,0.009828167,0.0094106505,0.009287241,0.010314582,0.010040703,0.009613723,0.0099053625,0.0095938835,0.010056887,0.009520874,0.0099579515,0.009561923,0.010000244,0.009563764,0.010095365,0.009381162,0.010042178,0.009745348,0.009483204,0.0101172235,0.009631155,0.009603653,0.00911634,0.00979527,0.009786433,0.009760668,0.0101203285,0.01002232,0.009593736,0.0104856845,0.009861315,0.009799393,0.010169418,0.009783097,0.009319203,0.009762755,0.009987898,0.010187265,0.010020253,0.009372695,0.009927966,0.009422852,0.009407436,0.009643868,0.009170007,0.010009207,0.010105818,0.009583282,0.009795757,0.009503763,0.009954979,0.010151168,0.009423411,0.0098161185,0.009544967,0.009951047,0.010133907,0.009907448,0.009573501,0.0097172875,0.009453816,0.010578062,0.009925599,0.009749804,0.0095448615,0.009674164,0.009825763,0.0102037415,0.009623313,0.009901423,0.010043001,0.010155759,0.009473934,0.009914984,0.009896788,0.009150204,0.0101731075,0.009781778,0.009842766,0.009620063,0.009283271,0.009906568,0.00969961,0.009658834,0.010043562,0.009975725,0.009761748,0.0098986775,0.0093278885,0.009389155,0.009840154,0.010350321
AMZN,0.00981146,0.010340983,0.0100948205,0.009751719,0.010091784,0.0104826335,0.009946121,0.010665055,0.0,0.009465895,0.010000461,0.00980044,0.009367664,0.009299373,0.010237287,0.010076041,0.009631062,0.009882167,0.009593425,0.009992992,0.009552526,0.009954955,0.009566163,0.009996372,0.00953556,0.010117747,0.009456733,0.010071478,0.009732446,0.009479321,0.010121458,0.009584311,0.009514417,0.009100104,0.009736182,0.009821126,0.009707189,0.010108689,0.009973098,0.009578951,0.010467509,0.009830852,0.0098579265,0.010280255,0.009791324,0.009314478,0.009790944,0.009971653,0.01012648,0.010034765,0.009387867,0.009943531,0.00942456,0.0094173625,0.009605902,0.009173962,0.009996745,0.010047638,0.009605324,0.009832622,0.00947329,0.0099127,0.010118752,0.009335903,0.009886042,0.0095403325,0.009993524,0.010074235,0.009837891,0.009554552,0.009725152,0.009501181,0.010569504,0.009969349,0.009683394,0.009550887,0.009651888,0.009830766,0.010180038,0.009618467,0.009897259,0.010007649,0.010156472,0.009514199,0.009864203,0.009862283,0.009089732,0.010230732,0.009822175,0.009822484,0.009614167,0.009295237,0.009855609,0.009669197,0.009704049,0.00998037,0.010009987,0.009765955,0.009928407,0.009312163,0.009385959,0.009800815,0.010261152
APH,0.009770774,0.010353379,0.010083208,0.009780754,0.01004827,0.010503099,0.009935251,0.010695877,0.009750907,0.0,0.0099584265,0.009828053,0.009347895,0.009285431,0.010313442,0.010005958,0.009553818,0.009864634,0.009556833,0.009940564,0.009566891,0.009903991,0.009568258,0.010011429,0.009556839,0.01009998,0.009451794,0.010088462,0.009715577,0.009479296,0.01019189,0.009600394,0.009504171,0.009129319,0.0096916305,0.009787158,0.009759942,0.010166432,0.009988412,0.009625469,0.010482199,0.00989235,0.009840575,0.010266107,0.009752091,0.009290576,0.009852313,0.009976509,0.010204393,0.010016065,0.009380089,0.009887869,0.009468617,0.009452978,0.009631091,0.00913312,0.009959377,0.010044131,0.009622464,0.009814709,0.009464383,0.009950899,0.010070068,0.00940013,0.009915766,0.009526295,0.009974889,0.010062318,0.009817075,0.009530117,0.009702049,0.009425668,0.010558029,0.009963881,0.009730342,0.009483551,0.009609304,0.009819219,0.010136596,0.0096124895,0.009885816,0.010011313,0.010161377,0.009454423,0.009869408,0.009851982,0.009085534,0.01020002,0.009815896,0.009866202,0.009640013,0.00931197,0.009868682,0.009681118,0.009656343,0.010012858,0.009938809,0.0097929165,0.009939184,0.009318595,0.009370515,0.009811471,0.010270933
