,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,APP,ARM,AVGO,AXP,AZO,BA,BABA,BAC,BLK,BN,BX,C,CB,CDNS,CME,COF,COST,CPNG,CPRT,CRM,CRWD,CSCO,CVNA,CVS,DELL,DG,EBAY,FTNT,GD,GE,GOOG,GS,HD,HON,HOOD,HWM,IBKR,IBM,ICE,INTC,INTU,JD,JPM,KKR,KLAC,KR,LMT,LOW,LRCX,MA,MELI,META,MMC,MRVL,MS,MSFT,MU,NET,NFLX,NOC,NOW,NTES,NU,NVDA,ORCL,ORLY,PANW,PDD,PGR,PLD,PLTR,QCOM,RBLX,ROST,RTX,SCHW,SE,SNOW,SNPS,TGT,TJX,TPR,TSCO,TXN,ULTA,V,WDAY,WELL,WFC,WMT,XLE,XLK,XLY
AAPL,0.00970444,0.0102927815,0.010022027,0.0096935555,0.009962671,0.010404125,0.009855634,0.0105510615,0.009614297,0.00934224,0.00983972,0.009746994,0.009266046,0.0091683,0.010226793,0.009933212,0.009493666,0.009802846,0.009466354,0.009874986,0.009446173,0.009830962,0.00948249,0.009921455,0.009491321,0.010016238,0.009355804,0.010009961,0.009624081,0.009371328,0.010082134,0.009511029,0.009455512,0.009010824,0.009592797,0.009646916,0.009677217,0.01000797,0.009936854,0.009499649,0.0103955995,0.009750854,0.009724639,0.010180057,0.009660134,0.009183053,0.009724569,0.009876613,0.010090076,0.00991019,0.009318793,0.009802567,0.009393008,0.009320455,0.009528175,0.009091211,0.009869275,0.009992504,0.009521349,0.009709979,0.0093698185,0.0098551735,0.010008802,0.00924168,0.0097887,0.009472132,0.009926496,0.009948431,0.009703323,0.009414451,0.009599177,0.009355298,0.010493082,0.00990044,0.009626225,0.009439607,0.009536246,0.009765675,0.010067439,0.00949184,0.0097638555,0.009907602,0.010053467,0.009369028,0.009784428,0.009793709,0.009003016,0.010137156,0.009754677,0.009729131,0.009572023,0.009224217,0.009768521,0.00960829,0.009584554,0.009915746,0.009867666,0.0096797645,0.009827932,0.009233907,0.009261542,0.009716995,0.010163169
ACN,0.009735577,0.010333747,0.009996563,0.009635936,0.00993854,0.010432738,0.009833381,0.010573514,0.009686072,0.009360667,0.00990663,0.009762621,0.009243308,0.009194493,0.010189543,0.009933474,0.009554711,0.009738976,0.009466861,0.009931493,0.00948966,0.009853757,0.009494652,0.009900256,0.009455343,0.010050697,0.009345145,0.010002218,0.009568829,0.009382879,0.0100494,0.009492468,0.009453896,0.008970052,0.009633409,0.009635702,0.009626754,0.010044703,0.009896437,0.00948653,0.010377871,0.009785222,0.009771664,0.010169192,0.009680259,0.009219762,0.009696303,0.009909477,0.010027031,0.009950604,0.009284539,0.009843852,0.009302955,0.009287623,0.0094920285,0.009082129,0.009900799,0.009935256,0.009508913,0.009715041,0.009378484,0.009824089,0.010113565,0.00920618,0.0097921025,0.009404067,0.00991622,0.009997411,0.009740433,0.009426534,0.009586522,0.009371202,0.010498641,0.009895748,0.009577834,0.009340805,0.009593068,0.009765958,0.0101083955,0.009460427,0.009860757,0.00993182,0.010065993,0.009408341,0.00973066,0.009772397,0.00898418,0.0101805385,0.009765668,0.009712131,0.009502058,0.00921392,0.009781343,0.009588714,0.009614611,0.009879365,0.009915431,0.009637615,0.009809824,0.00921272,0.009245838,0.009749131,0.010217105
ADBE,0.009730695,0.010309589,0.0100406045,0.009698832,0.010016609,0.010340248,0.0098246895,0.0105630085,0.009637632,0.00934003,0.009918704,0.009747855,0.009300699,0.009210787,0.010205284,0.009917742,0.009548257,0.009791481,0.009471813,0.009901641,0.009424981,0.00985611,0.009460933,0.009905082,0.00942803,0.010011951,0.009329113,0.009978168,0.009577872,0.009389498,0.010052377,0.009506792,0.00949679,0.008974109,0.009602865,0.009633297,0.009677552,0.010053586,0.009902747,0.009487309,0.010369799,0.009769528,0.009731362,0.010143022,0.009662071,0.009193091,0.009731059,0.009949285,0.010121541,0.009950065,0.009288257,0.009824397,0.009331297,0.009305343,0.009537375,0.009078028,0.009847652,0.010022327,0.009492077,0.009711653,0.00935504,0.009904541,0.0100350175,0.0092731705,0.0097794,0.009447567,0.009847995,0.010006914,0.009773038,0.009443667,0.009602376,0.00929889,0.010476952,0.009875781,0.009641859,0.009406165,0.009550136,0.009784111,0.010122488,0.009475846,0.009813581,0.009878993,0.0100668715,0.00938485,0.009785588,0.00979993,0.009018237,0.010146223,0.0096988045,0.009685359,0.009529508,0.009176967,0.009763651,0.00960863,0.009578979,0.009938834,0.009860111,0.009649137,0.009808077,0.009218081,0.009249072,0.009734933,0.010180039
ADI,0.009729104,0.010285806,0.010012366,0.0097402325,0.009975385,0.010369172,0.009842831,0.010532586,0.009641068,0.009380151,0.009856029,0.009800623,0.009249191,0.009210231,0.010188197,0.009893957,0.009507723,0.009816913,0.009524511,0.009960174,0.0094745075,0.009817241,0.009469219,0.009930295,0.009513987,0.010056151,0.009393608,0.0099949995,0.009605267,0.009385064,0.010117321,0.009527565,0.009462163,0.009008374,0.009570537,0.009614886,0.009689065,0.0100512225,0.009922398,0.009498275,0.010384707,0.009800972,0.009742833,0.010137382,0.009665241,0.009193426,0.009691503,0.009880041,0.010046853,0.009911651,0.009305843,0.009772295,0.009333702,0.009319531,0.009541777,0.009071442,0.009826554,0.009969013,0.009559982,0.009652314,0.009381775,0.009867848,0.010019029,0.009256725,0.009758629,0.009474784,0.00991148,0.009978541,0.009692645,0.009435427,0.009596385,0.009372461,0.010402173,0.009867719,0.009615232,0.009394842,0.009562362,0.009708568,0.010078077,0.0094825905,0.00980955,0.009920314,0.010054058,0.009386613,0.009716144,0.00978576,0.009036884,0.010122381,0.009712194,0.009757707,0.009536264,0.009233471,0.009763791,0.009627724,0.0095479,0.0099093905,0.009869002,0.009670993,0.00985707,0.009207951,0.009248548,0.009757627,0.010185911
ADP,0.009693306,0.010249619,0.010035123,0.009692853,0.009966318,0.010309768,0.00984048,0.010596277,0.009655319,0.0093206335,0.009853428,0.009714114,0.009324221,0.009196581,0.0101722665,0.009949543,0.009490729,0.009788962,0.0095297275,0.009897694,0.00944945,0.009850317,0.009443865,0.009914546,0.00944752,0.010026544,0.009378782,0.009991621,0.009681992,0.009380301,0.010064824,0.009508182,0.009458974,0.009058692,0.009646922,0.009691391,0.009662678,0.010022649,0.009912893,0.009463294,0.010345847,0.009709788,0.009763312,0.010154936,0.009670319,0.009210778,0.009693372,0.0098345345,0.0101150125,0.009921452,0.009329407,0.009814388,0.009352485,0.009318684,0.009572169,0.009106981,0.009869132,0.009983525,0.0094800955,0.009679735,0.009375334,0.009825007,0.009987289,0.009286759,0.009837845,0.009519318,0.009893454,0.009931516,0.0097319,0.009438491,0.009666106,0.009372928,0.0104610305,0.009881644,0.009601931,0.009436432,0.009524417,0.009753361,0.010087362,0.009458426,0.00979813,0.009938621,0.0100452565,0.009404273,0.009754505,0.0097940415,0.009014106,0.010087074,0.009748656,0.009738615,0.009565774,0.009219377,0.009801266,0.009620674,0.009607821,0.009875015,0.009898086,0.009632637,0.009826325,0.009226811,0.009254467,0.009705864,0.010113704
ADSK,0.009683076,0.010270488,0.009973561,0.009654292,0.009949655,0.010408397,0.0098795025,0.010543672,0.0096759135,0.009361328,0.009876309,0.009779882,0.0092490325,0.009195777,0.010182297,0.009997424,0.009497434,0.009792107,0.009481787,0.009904412,0.00943798,0.009835614,0.009473774,0.009919614,0.009477587,0.00997387,0.0093102055,0.009971723,0.009649312,0.009331933,0.010016715,0.009502102,0.009450221,0.009078422,0.009595545,0.009722388,0.009655463,0.010046458,0.009897598,0.00951854,0.010400122,0.009753612,0.009758267,0.010181439,0.009647025,0.009175396,0.009669793,0.009865673,0.010061584,0.009963758,0.009291049,0.009824276,0.009343744,0.009282825,0.009537734,0.009095887,0.00991294,0.0099744685,0.009555581,0.009726153,0.009420547,0.009831506,0.010056344,0.009281065,0.0098189,0.009440146,0.009902627,0.0100033935,0.009751,0.009401188,0.009621956,0.009418153,0.0104811005,0.00987722,0.009590108,0.009404814,0.009549968,0.00968561,0.010088537,0.009507699,0.009814648,0.009890649,0.01005594,0.009366672,0.009742857,0.009756234,0.008998486,0.010160765,0.009730242,0.009739382,0.0095271915,0.009198218,0.009791097,0.009558534,0.009555269,0.009899122,0.009840269,0.009706112,0.0097986255,0.009233331,0.009297548,0.009765903,0.01019829
AMAT,0.009691205,0.010254393,0.010021548,0.009681666,0.009964803,0.010398757,0.009834346,0.010616841,0.009647523,0.009380636,0.009865064,0.009774718,0.009267784,0.009207931,0.010200326,0.0099224895,0.009467127,0.009806417,0.009483559,0.009930233,0.009471208,0.009825872,0.009483654,0.009914187,0.009508163,0.010042543,0.0093455035,0.009994663,0.009620301,0.009395808,0.010076463,0.009531193,0.00946397,0.009025047,0.009652073,0.009637146,0.0096540935,0.010029266,0.009911983,0.009480068,0.010384905,0.009781654,0.009754177,0.010138607,0.009701228,0.009213924,0.009682227,0.009885734,0.010055434,0.009919427,0.009286624,0.009824619,0.009335561,0.009306446,0.009504104,0.009086463,0.009862341,0.009952498,0.009500567,0.009678127,0.009382733,0.009839951,0.010078344,0.009250689,0.009789419,0.0094710225,0.009912531,0.009952136,0.009724045,0.00941885,0.00962119,0.009389888,0.010484011,0.009883443,0.009605998,0.00941501,0.009554174,0.009714585,0.010081823,0.009494038,0.009789,0.009934307,0.010023598,0.009379718,0.009741501,0.009778665,0.009000975,0.0101460265,0.009720792,0.009742087,0.009538081,0.009234689,0.009782607,0.009616518,0.009569431,0.009912496,0.009841792,0.009662954,0.009812923,0.009213358,0.009269324,0.009741731,0.010148305
AMD,0.009698207,0.010232562,0.010039168,0.0096865585,0.010006393,0.010343038,0.0098774545,0.010569238,0.009642636,0.0093628075,0.009943861,0.009724291,0.009311187,0.009189082,0.010205565,0.009934581,0.009512113,0.009800671,0.009492484,0.009950593,0.009420246,0.009852704,0.009460861,0.009894549,0.0094626825,0.009988666,0.009282011,0.00993604,0.009642348,0.009382974,0.010010293,0.0095293615,0.00950215,0.009019988,0.009691741,0.009682998,0.009657505,0.010013364,0.009916392,0.009492338,0.010374859,0.0097570885,0.009695821,0.010061935,0.0096796965,0.009220706,0.00965957,0.009882334,0.010079594,0.009914347,0.009273633,0.0098230345,0.00932326,0.009308007,0.00954194,0.009073087,0.009903417,0.009999007,0.009481994,0.009692224,0.009403316,0.009849763,0.010043878,0.009323813,0.00971237,0.009444084,0.0098458715,0.0100267995,0.009802734,0.009472316,0.009614583,0.009353897,0.010466261,0.009820693,0.009646756,0.00944398,0.0095719155,0.009721912,0.010095896,0.009521603,0.009796773,0.009936854,0.01004842,0.009373802,0.009810191,0.009792186,0.009053494,0.010065585,0.009678392,0.009738736,0.009518387,0.009185154,0.009801863,0.009597093,0.009556748,0.00993741,0.009870289,0.009658574,0.009794056,0.0092293,0.0092899185,0.009736151,0.010240926
AMZN,0.00971622,0.010240603,0.00999683,0.009657059,0.009993823,0.010380878,0.0098495735,0.01056153,0.009707023,0.0093740085,0.009903386,0.009705307,0.009276732,0.009209104,0.010137913,0.009978233,0.009537573,0.009786241,0.009500301,0.00989599,0.009459799,0.009858322,0.009473303,0.009899337,0.009442998,0.010019533,0.0093649365,0.009973714,0.009637972,0.009387304,0.010023209,0.009491276,0.00942206,0.009011769,0.0096416725,0.009725792,0.009612961,0.010010564,0.0098762885,0.009485967,0.010365901,0.009735424,0.009762235,0.010180464,0.00969628,0.009224063,0.0096959025,0.009874858,0.010028182,0.009937357,0.009296739,0.009847009,0.009333075,0.009325948,0.009512657,0.00908491,0.009899706,0.009950105,0.009512085,0.009737176,0.009381332,0.009816477,0.010020529,0.009245279,0.009790078,0.009447725,0.009896517,0.009976444,0.009742394,0.009461805,0.009630749,0.009408953,0.010466906,0.009872576,0.009589396,0.009458177,0.009558197,0.009735338,0.01008122,0.0095251,0.009801186,0.009910504,0.010057883,0.009421844,0.009768451,0.00976655,0.009001497,0.010131422,0.009726831,0.009727137,0.009520842,0.009205008,0.00975994,0.009575337,0.009609851,0.00988349,0.00991282,0.009671156,0.009832032,0.00922177,0.00929485,0.009705679,0.010161547
APH,0.009679229,0.010256375,0.009988735,0.009689115,0.009954125,0.010404692,0.009842165,0.010595663,0.009659548,0.00936933,0.009865123,0.009735972,0.009260312,0.009198433,0.010216812,0.00991221,0.009464305,0.009772209,0.009467292,0.009847428,0.009477256,0.009811197,0.00947861,0.009917629,0.009467298,0.01000535,0.009363238,0.009993941,0.009624548,0.009390482,0.010096399,0.009510445,0.009415124,0.009043784,0.009600827,0.009695459,0.009668498,0.010071179,0.009894827,0.009535286,0.010383988,0.009799666,0.009748376,0.0101699205,0.009660721,0.00920353,0.0097600045,0.009883036,0.010108786,0.009922221,0.009292204,0.009795226,0.009379903,0.00936441,0.009540854,0.009047549,0.009866064,0.009950025,0.009532308,0.0097227525,0.009375708,0.009857666,0.009975718,0.009312058,0.009822862,0.0094370395,0.009881431,0.009968041,0.009725096,0.009440826,0.009611147,0.009337356,0.010459107,0.009870526,0.009639176,0.009394696,0.009519272,0.009727219,0.010041623,0.009522427,0.009793192,0.0099175135,0.010066171,0.009365841,0.009776939,0.009759676,0.009000408,0.010104453,0.009723928,0.009773763,0.009549692,0.009224723,0.00977622,0.0095904125,0.009565869,0.009919044,0.009845689,0.0097011635,0.0098460615,0.009231286,0.00928272,0.009719544,0.010174701
